Date,Open,High,Low,Close,Volume
1/3/2007 16:00:00,61.71,62.31,60.7,61.16,6138900
1/4/2007 16:00:00,61.25,61.28,60.34,61,4060200
1/5/2007 16:00:00,60.77,60.92,59.95,60.22,6267100
1/8/2007 16:00:00,60.09,60.57,59.86,60.29,3943000
1/9/2007 16:00:00,60.46,60.7,60,60.62,3929100
1/10/2007 16:00:00,60.19,60.39,59.85,60.32,6825100
1/11/2007 16:00:00,60.14,60.58,59.9,60,7440900
1/12/2007 16:00:00,59.66,59.9,59.2,59.74,6560800
1/16/2007 16:00:00,59.87,59.93,59.1,59.24,6843100
1/17/2007 16:00:00,59.36,60.68,59.25,59.91,7255600
1/18/2007 16:00:00,59.85,60.3,59.6,59.9,7027700
1/19/2007 16:00:00,60.1,60.2,59.28,59.37,5561700
1/22/2007 16:00:00,59.37,59.53,57.98,58.17,9881300
1/23/2007 16:00:00,58.43,59.56,58.17,59.56,8587900
1/24/2007 16:00:00,59.79,60.12,59.05,59.73,8017500
1/25/2007 16:00:00,59.85,60.12,59.38,59.63,7482500
1/26/2007 16:00:00,61.26,61.42,60.5,61.09,12450800
1/29/2007 16:00:00,61.29,62.29,61.07,61.7,9608800
1/30/2007 16:00:00,62.15,63.16,61.96,62.88,8954000
1/31/2007 16:00:00,63.14,64.34,62.98,64.07,9639100
2/1/2007 16:00:00,64.8,65.25,64.45,64.99,10273000
2/2/2007 16:00:00,65,65.37,64.55,65.25,5971800
2/5/2007 16:00:00,65.25,65.3,64.31,64.49,5265700
2/6/2007 16:00:00,64.5,64.95,64.32,64.42,4873100
2/7/2007 16:00:00,64.9,65.9,64.65,65.64,6546400
2/8/2007 16:00:00,65.58,65.85,64.86,65.63,4528600
2/9/2007 16:00:00,65.99,65.99,64.69,64.8,5576200
2/12/2007 16:00:00,64.75,65.18,64.28,64.6,4977627
2/13/2007 16:00:00,64.7,65.18,64.31,64.73,4965188
2/14/2007 16:00:00,65.45,66.48,65.17,66.16,7526254
2/15/2007 16:00:00,68,68.2,67,67.62,9566900
2/16/2007 16:00:00,67.79,68.04,67.3,67.67,4250200
2/20/2007 16:00:00,67.54,68,67.01,67.93,6964300
2/21/2007 16:00:00,67.59,68.36,67.33,68.21,7225500
2/22/2007 16:00:00,68.25,68.43,67.33,67.78,4989400
2/23/2007 16:00:00,67.51,67.66,67.07,67.26,3777800
2/26/2007 16:00:00,67.51,67.77,67.07,67.26,3990310
2/27/2007 16:00:00,66.05,66.17,63.51,64.83,10824700
2/28/2007 16:00:00,64.67,65.06,63.01,64.43,9558400
3/1/2007 16:00:00,63.9,64.29,62.75,63.9,7994165
3/2/2007 16:00:00,63.4,64.16,62.94,63.04,6037500
3/5/2007 16:00:00,62.52,63.8,62.34,63.17,6722500
3/6/2007 16:00:00,63.56,64.13,63.19,63.62,5360600
3/7/2007 16:00:00,63.73,64.65,63.63,64.23,5284300
3/8/2007 16:00:00,64.56,64.99,64,64.3,4206200
3/9/2007 16:00:00,64.46,64.8,64.01,64.4,3267700
3/12/2007 16:00:00,64.3,64.89,63.63,64.57,4949100
3/13/2007 16:00:00,64.11,64.65,63.18,63.34,6297900
3/14/2007 16:00:00,63.21,63.78,62.58,63.64,6611900
3/15/2007 16:00:00,63.49,63.91,63.17,63.46,4547500
3/16/2007 16:00:00,63.72,64.11,62.9,63.16,5242507
3/19/2007 16:00:00,64.65,64.75,63.89,64.17,5076102
3/20/2007 16:00:00,64.17,65.18,64.01,64.86,4730800
3/21/2007 16:00:00,65.1,66.45,64.99,66.21,5865424
3/22/2007 16:00:00,66.62,66.87,65.94,66.54,4810807
3/23/2007 16:00:00,66.54,67.43,66.54,66.88,4127197
3/26/2007 16:00:00,67.45,67.72,66.26,66.84,7726878
3/27/2007 16:00:00,66.31,67.04,66.14,66.88,4266800
3/28/2007 16:00:00,66.55,66.74,65.75,66.24,4428700
3/29/2007 16:00:00,66.25,66.91,65.63,66.19,3752600
3/30/2007 16:00:00,66.19,67.69,66.19,67.03,6216500
4/2/2007 16:00:00,67.04,67.15,66.02,67.03,4917200
4/3/2007 16:00:00,67.21,67.7,66.84,67.24,5065355
4/4/2007 16:00:00,67.24,67.76,66.93,67.48,3257300
4/5/2007 16:00:00,67.48,68,67.4,67.63,3632707
4/9/2007 16:00:00,67.64,68.19,67.08,67.34,3780650
4/10/2007 16:00:00,67.2,67.55,66.4,66.95,3699985
