Date,Open,High,Low,Close,Volume
1/2/2007 15:30:00,321.56,327.11,320.49,324.48,173845
1/3/2007 15:30:00,324,330.43,315.56,328.08,681368
1/4/2007 15:30:00,331.04,334.22,329.33,331.86,662154
1/5/2007 15:30:00,333.33,333.33,325.11,326.84,345218
1/8/2007 15:30:00,326.89,326.89,319.22,324.82,356408
1/9/2007 15:30:00,325.92,326.6,315.81,317.99,447539
1/10/2007 15:30:00,318.22,322.22,311.56,313.34,500607
1/11/2007 15:30:00,322.69,322.69,311.33,319.84,268886
1/12/2007 15:30:00,325.16,330,320.44,325.82,592342
1/15/2007 15:30:00,326.7,335.56,326.7,333.48,457781
1/16/2007 15:30:00,335.56,339.6,333.11,338.16,537273
1/17/2007 15:30:00,340,348.87,334.67,345.59,669926
1/18/2007 15:30:00,345.56,355.56,342.5,353.42,766204
1/19/2007 15:30:00,346.93,355.29,344.02,348.72,361657
1/22/2007 15:30:00,351.04,352.84,342.49,344.83,372568
1/23/2007 15:30:00,344.67,347.11,339.19,341.76,427927
1/24/2007 15:30:00,342.22,353.22,340,351.87,449537
1/25/2007 15:30:00,352.89,360.67,350,358.92,881018
1/29/2007 15:30:00,357.78,362.19,351.58,358.22,460324
1/31/2007 15:30:00,358.27,361.11,347.78,353.11,640728
2/1/2007 15:30:00,355.51,358.22,347.82,356.01,331087
2/2/2007 15:30:00,355.56,376,355.56,373.4,935219
2/5/2007 15:30:00,375.11,378.44,368.44,376.18,434524
2/6/2007 15:30:00,377.78,380.67,373.59,378,509541
2/7/2007 15:30:00,378.67,392.17,376,387.19,934851
2/8/2007 15:30:00,388.67,392.84,378.26,390.39,669766
2/9/2007 15:30:00,390.89,394.64,379.22,381.37,1021380
2/12/2007 15:30:00,381.73,383.31,364.91,369.02,780183
2/13/2007 15:30:00,366.44,374.89,355.56,358.7,1094908
2/14/2007 15:30:00,358.7,360.89,349.78,358.68,722271
2/15/2007 15:30:00,359.78,378.11,359.78,376.71,843805
2/19/2007 15:30:00,369.38,384.16,369.38,376.36,507986
2/20/2007 15:30:00,376.67,380.44,368.89,370.93,423549
2/21/2007 15:30:00,370.89,379.11,366.67,368.5,648399
2/22/2007 15:30:00,368.5,376.67,364.89,367.47,1062337
2/23/2007 15:30:00,369.33,370,354.76,358.03,808876
2/26/2007 15:30:00,359.56,361.78,351.13,354.11,757949
2/27/2007 15:30:00,356,356.44,344.46,347.57,941852
2/28/2007 15:30:00,340,346.33,314.44,331.08,1669917
3/1/2007 15:30:00,333.33,347.78,325.91,343.08,1077993
3/2/2007 15:30:00,341.56,341.56,322.22,324.97,1150545
3/5/2007 15:30:00,324.97,324.97,305.56,307.4,1254915
3/6/2007 15:30:00,324.22,324.22,308.89,317.99,721730
3/7/2007 15:30:00,320,329.29,313.39,323.27,1012244
3/8/2007 15:30:00,323.27,342,323.27,338.52,593956
3/9/2007 15:30:00,342.22,355.53,326.67,329.8,729520
3/12/2007 15:30:00,333.29,338.64,330.02,333.04,624480
3/13/2007 15:30:00,334.44,341.11,333.33,340.32,348447
3/14/2007 15:30:00,331.11,334.44,311.37,330.38,677452
3/15/2007 15:30:00,332.22,340.29,328.02,330.66,585508
3/16/2007 15:30:00,332.22,335.11,314.24,321.62,938150
3/19/2007 15:30:00,328.89,329.11,318.27,326.17,383499
3/20/2007 15:30:00,328.89,332.87,326,327.84,407341
3/21/2007 15:30:00,330.67,335.56,326.7,334.59,400624
3/22/2007 15:30:00,337.78,352,337.78,349.73,774376
3/23/2007 15:30:00,349.78,364.67,346,361.37,1134041
3/26/2007 15:30:00,364.89,364.89,354.74,359.62,559718
3/28/2007 15:30:00,355.56,358.67,344.44,348.22,851081
3/29/2007 15:30:00,347.78,363.33,347.78,359.18,854869
3/30/2007 15:30:00,361.11,363.56,355.82,360.02,723765
4/2/2007 15:30:00,353.33,353.33,336.79,338.93,868250
4/3/2007 15:30:00,350,350,334.44,339.77,612743
4/4/2007 15:30:00,342.22,348.42,342.2,344.29,663370
4/5/2007 15:30:00,345.11,346.67,341.17,344.12,531315
4/9/2007 15:30:00,344.89,357.79,344.4,354.98,576473
4/10/2007 15:30:00,358.89,359.56,349.16,351.36,716209
4/11/2007 15:30:00,351.56,357.78,349.39,352.18,695544
4/12/2007 15:30:00,349.33,349.98,344.67,348.13,760219
4/13/2007 15:30:00,350,359.64,347.78,358.69,519243
4/16/2007 15:30:00,361.11,370.98,346.94,369.14,960275
4/17/2007 15:30:00,371.33,374.56,368.89,370.92,883686
4/18/2007 15:30:00,372.22,375.56,366.92,369.07,317956
4/19/2007 15:30:00,364.44,371.1,357.87,369.21,598401
4/20/2007 15:30:00,371.11,377.77,371.11,377.31,403058
4/23/2007 15:30:00,383.33,383.33,376.78,377.93,297896
4/24/2007 15:30:00,378,382.22,372.23,379.07,418585
4/25/2007 15:30:00,377.74,381.78,373.33,375.49,418540
4/26/2007 15:30:00,378,382.56,376.67,381.43,611326
4/27/2007 15:30:00,380.84,381.09,372.5,374.2,345781
4/30/2007 15:30:00,370.22,379.53,365.33,377.42,476389
5/3/2007 15:30:00,342,389.63,342,387.38,605715
5/4/2007 15:30:00,387.11,390.9,376.07,377.28,541534
5/7/2007 15:30:00,377.78,384.37,376.27,377.23,287412
5/8/2007 15:30:00,377.78,382.33,375.57,377.67,276114
5/9/2007 15:30:00,381.78,382.22,372.67,380.7,311475
5/10/2007 15:30:00,382.44,384.89,373.81,375.66,241141
5/11/2007 15:30:00,371.2,377.33,367.14,375.11,403143
5/14/2007 15:30:00,376,382.44,372.29,375.1,314002
5/15/2007 15:30:00,375.56,379.78,370.67,371.91,443025
5/16/2007 15:30:00,373.11,381.98,369.38,380.91,345364
5/17/2007 15:30:00,385.56,386.67,381.56,383.23,416494
5/18/2007 15:30:00,382.22,386.89,374.69,384.83,344253
5/21/2007 15:30:00,387.78,387.78,378.89,385.8,259984
5/22/2007 15:30:00,384.53,394.44,377.33,385.29,554765
5/23/2007 15:30:00,385.56,394.67,381.11,383.08,575963
5/24/2007 15:30:00,383.33,384.89,376.67,378.66,408952
5/25/2007 15:30:00,374.44,387.54,371.12,386.41,565747
5/28/2007 15:30:00,386.89,398.22,386.89,396.37,552448
5/29/2007 15:30:00,398.89,415.42,393.82,412.48,1546645
5/30/2007 15:30:00,410.44,446.67,410.44,443.3,3389267
5/31/2007 15:30:00,444.44,457.78,436.41,446.64,1693384
6/1/2007 15:30:00,445.56,450.64,441.14,444.43,748875
6/4/2007 15:30:00,450,451.11,436.89,438.19,590034
6/5/2007 15:30:00,439.78,439.78,430.37,432.17,803198
6/6/2007 15:30:00,427.86,442.22,425.61,426.92,817122
6/7/2007 15:30:00,422.44,431.11,417.56,421.54,674879
6/8/2007 15:30:00,422.47,426.67,414.53,418.81,819388
6/11/2007 15:30:00,422.22,428.67,418,420.37,886261
6/12/2007 15:30:00,428.22,428.67,418,423.72,940977
6/13/2007 15:30:00,424.44,426.89,413.33,415.21,1050836
6/14/2007 15:30:00,436.67,436.67,417.78,427.58,1161474
6/15/2007 15:30:00,429.56,436.89,428.89,432.82,979286
6/18/2007 15:30:00,433.11,437.51,426.44,428.2,641314
6/19/2007 15:30:00,431.56,445.09,427.56,443.53,846954
6/20/2007 15:30:00,445.11,452.2,445.11,450.37,860865
6/21/2007 15:30:00,445.56,477.78,445.56,467.88,2031800
6/22/2007 15:30:00,467.88,472.19,463.78,468.33,805468
6/25/2007 15:30:00,468.44,488.62,456.79,483.12,1030634
6/26/2007 15:30:00,484.5,484.5,476,480.04,680087
6/27/2007 15:30:00,481.07,481.07,474.44,476.4,427677
6/28/2007 15:30:00,477.11,481.33,472.67,478.56,461991
6/29/2007 15:30:00,480.67,490.41,480,488.44,732780
7/2/2007 15:30:00,495.56,506.18,490.46,496.77,679359
7/3/2007 15:30:00,503.33,510.64,498,502.44,981437
7/4/2007 15:30:00,507.33,515.56,498.91,509.61,700288
7/5/2007 15:30:00,511.14,525.31,511.14,518.03,1041297
7/6/2007 15:30:00,518.89,530.67,517.78,525.48,880818
7/9/2007 15:30:00,525.56,539.56,525.56,536.88,950090
7/10/2007 15:30:00,541.11,541.11,528.89,530.93,813047
7/11/2007 15:30:00,528.67,536.67,525.13,529.2,642486
7/12/2007 15:30:00,533.33,537.11,526.03,528.41,516443
7/13/2007 15:30:00,533.33,544.44,531.78,533.26,1070980
7/16/2007 15:30:00,533.33,540.89,530.68,536.74,649772
7/17/2007 15:30:00,542,542,528.08,531.61,624684
7/18/2007 15:30:00,532.22,532.22,510.27,517.78,896864
7/19/2007 15:30:00,520.22,537.56,519.56,528.79,1494942
7/20/2007 15:30:00,535.56,555.56,532.22,550.88,1830239
7/23/2007 15:30:00,551.11,593.11,543.78,583.33,1325697
7/24/2007 15:30:00,598.84,607.11,581.48,593.39,1463581
7/25/2007 15:30:00,592.44,592.44,564.47,570.87,1237307
7/26/2007 15:30:00,571.14,585.56,556.92,565.48,1534242
7/27/2007 15:30:00,555.56,562.22,533.33,537.82,2255646
7/30/2007 15:30:00,537.78,555.56,526.76,542.96,1374997
7/31/2007 15:30:00,546.89,584.44,546.89,579.51,1732142
8/1/2007 15:30:00,575.56,575.56,550,552.26,1518690
8/2/2007 15:30:00,553.71,566.67,550.02,553,1344964
8/3/2007 15:30:00,562,567.11,557.79,560.03,812626
8/6/2007 15:30:00,547.78,551.11,537.87,544.09,1071219
8/7/2007 15:30:00,555.56,560.97,541.11,545.43,993459
8/8/2007 15:30:00,549.78,557.1,548.5,553.89,929410
8/9/2007 15:30:00,558.22,562.89,541.17,544.49,722157
8/10/2007 15:30:00,533.33,542.22,522.47,539.71,994076
8/13/2007 15:30:00,544.44,548,539.58,541.34,611070
8/14/2007 15:30:00,546.32,546.67,536.69,537.98,493576
8/16/2007 15:30:00,522.22,527.78,511.33,515.67,1363524
8/17/2007 15:30:00,515.67,521.92,498,512.9,1765100
8/20/2007 15:30:00,529.78,536.44,519.38,522.17,888427
8/21/2007 15:30:00,527.73,527.73,511.11,512.57,976249
8/22/2007 15:30:00,521.11,533.11,507.58,529.54,917168
8/23/2007 15:30:00,533.33,548.44,524.44,532.56,1328583
8/24/2007 15:30:00,535.56,546.06,525.2,543.32,675329
8/27/2007 15:30:00,548.89,564.36,544.44,563.04,676550
8/28/2007 15:30:00,562.22,571.11,556.98,567.36,736448
8/29/2007 15:30:00,560.89,577.56,551.2,575.93,719919
8/30/2007 15:30:00,577.81,584.22,569.14,575.26,1083071
8/31/2007 15:30:00,576.89,579.98,572.44,573.96,526001
