Date,Open,High,Low,Close,Volume
1/3/2007 16:00:00,54.66,55.25,53.2,54.5,4668700
1/4/2007 16:00:00,54.3,55.08,54,54.92,3401900
1/5/2007 16:00:00,54.79,55.69,54.16,54.73,4263700
1/8/2007 16:00:00,55.4,56.06,54.78,55.95,4712500
1/9/2007 16:00:00,55.11,56.3,54.83,55.65,4507100
1/10/2007 16:00:00,55.54,56.01,54.75,55.74,3921900
1/11/2007 16:00:00,55.72,56.69,55.31,55.97,3572700
1/12/2007 16:00:00,56.07,56.95,55.82,56.3,2856900
1/16/2007 16:00:00,56.4,56.44,55.62,55.91,2822300
1/17/2007 16:00:00,55.84,56.74,55.83,56.31,2837200
1/18/2007 16:00:00,56.26,57.28,55.02,55.36,2831400
1/19/2007 16:00:00,55.85,57.38,55.61,57.19,3081600
1/22/2007 16:00:00,57.2,57.88,56.64,56.91,2599600
1/23/2007 16:00:00,57.08,59.13,56.99,59.1,3330500
1/24/2007 16:00:00,58.75,59.88,58.23,59.2,3978600
1/25/2007 16:00:00,61.75,64.22,61.5,62.65,7486500
1/26/2007 16:00:00,62.66,63,61.17,61.48,4280100
1/29/2007 16:00:00,61.49,63.35,61.49,61.88,4260100
1/30/2007 16:00:00,63,64.2,61.75,63.74,5265000
1/31/2007 16:00:00,63.11,64.88,63.1,64.54,4409700
2/1/2007 16:00:00,64.63,65,63.62,64.82,3176200
2/2/2007 16:00:00,64.47,65,63.32,64.83,3513400
2/5/2007 16:00:00,64.14,64.99,63.06,63.53,2791700
2/6/2007 16:00:00,64.1,64.48,63.24,64.21,2249800
2/7/2007 16:00:00,64.25,65.43,63.62,64.22,2804100
2/8/2007 16:00:00,63.95,64.13,62.78,63.37,2784500
2/9/2007 16:00:00,62.97,63.19,61.38,61.65,2540200
2/12/2007 16:00:00,61.9,63.04,61.6,62.33,2150737
2/13/2007 16:00:00,63.25,64.66,62.81,64.02,2933429
2/14/2007 16:00:00,64.91,65.21,63.71,64.26,2511387
2/15/2007 16:00:00,64.43,66.04,64.16,65.3,3998800
2/16/2007 16:00:00,64.89,65.25,64.3,64.72,2691300
2/20/2007 16:00:00,64.13,64.91,63.12,64.57,3387000
2/21/2007 16:00:00,64.42,66.51,63.82,66.37,4221200
2/22/2007 16:00:00,66.97,66.99,65.07,65.41,2779300
2/23/2007 16:00:00,65.51,66,64.31,64.41,2398500
2/26/2007 16:00:00,64.66,65.88,63.66,64.13,4147816
2/27/2007 16:00:00,61.85,63.02,59.42,60.03,7184300
2/28/2007 16:00:00,60.43,61.6,59.62,60.87,6235700
3/1/2007 16:00:00,59.47,61.8,58.75,60.82,4728817
3/2/2007 16:00:00,61.07,61.7,58.45,58.74,4853400
3/5/2007 16:00:00,58.23,59.27,57.34,57.9,4326000
3/6/2007 16:00:00,59.2,60.55,58.21,60.04,4103500
3/7/2007 16:00:00,60.04,60.97,59.61,59.95,2960402
