Date,Open,High,Low,Close,Volume
1/2/2007 15:30:00,39.19,39.92,38.81,39.56,324140
1/3/2007 15:30:00,39.56,40.71,39,40.37,978453
1/4/2007 15:30:00,40,41.35,39,39.22,431202
1/5/2007 15:30:00,39.4,39.84,38.65,39.67,351184
1/8/2007 15:30:00,38.03,39.7,38.03,38.89,226424
1/9/2007 15:30:00,38.7,41.29,38.7,40.81,526506
1/10/2007 15:30:00,40.9,41.6,39.73,39.88,335760
1/11/2007 15:30:00,40.47,41.25,39.46,40.62,329925
1/12/2007 15:30:00,41,42.2,40.65,41.61,411309
1/15/2007 15:30:00,42.47,42.47,41.15,41.66,313973
1/16/2007 15:30:00,42,42.4,41.56,42.13,204749
1/17/2007 15:30:00,43,44.2,42.2,43.52,809488
1/18/2007 15:30:00,43.99,43.99,42.11,42.5,465642
1/19/2007 15:30:00,42.5,43.1,41.3,42.48,224965
1/22/2007 15:30:00,41.2,43,35.26,42.26,373072
1/23/2007 15:30:00,43,43.24,39.83,40.35,278754
1/24/2007 15:30:00,41.5,43.15,40.6,42.98,603296
1/25/2007 15:30:00,43.38,45.1,43.2,44.17,1995461
1/29/2007 15:30:00,44.41,45,44.2,44.39,343679
1/31/2007 15:30:00,44.5,46.5,44.5,45.84,649663
2/1/2007 15:30:00,46.8,47,44.31,46.64,523090
2/2/2007 15:30:00,47,47.4,46.01,46.19,268795
2/5/2007 15:30:00,46.31,46.6,44.9,45.54,250162
2/6/2007 15:30:00,46.07,47.31,45.8,46.19,402535
2/7/2007 15:30:00,47,47.1,45.01,46.57,358721
2/8/2007 15:30:00,47,47,45.5,45.83,154251
2/9/2007 15:30:00,46,46.94,44,44.66,189309
2/12/2007 15:30:00,45,45,42.8,43.21,332272
2/13/2007 15:30:00,43.8,44.56,42,44.04,265975
2/14/2007 15:30:00,44.9,46.49,43.33,44.51,908379
2/15/2007 15:30:00,44.71,46.73,44.59,46.5,409689
2/19/2007 15:30:00,46.86,47.6,44.86,45.09,846344
2/20/2007 15:30:00,44.7,45.89,44.51,45.32,254119
2/21/2007 15:30:00,45.1,46.2,44.9,45.15,404606
2/22/2007 15:30:00,44.5,46.04,44.5,45.31,474096
2/23/2007 15:30:00,45.69,46.95,45.13,46.2,642188
2/26/2007 15:30:00,46.39,49.2,45.5,48.83,979626
2/27/2007 15:30:00,49.5,50.48,47,48.66,3035409
2/28/2007 15:30:00,49,49.29,45.25,46.78,975755
3/1/2007 15:30:00,46.9,49.5,46.6,48.08,1009802
3/2/2007 15:30:00,48.47,50.78,46.2,47.17,1349725
3/5/2007 15:30:00,44.51,46.89,42.27,43,1375583
3/6/2007 15:30:00,43.5,44.98,41.6,43.58,851225
3/7/2007 15:30:00,43.8,44.7,40,41.31,670906
3/8/2007 15:30:00,42.5,44.75,40.01,44.47,909618
3/9/2007 15:30:00,45,46.39,43.51,45.28,642299
3/12/2007 15:30:00,45.65,46.48,45.03,45.47,252300
3/13/2007 15:30:00,45.9,47.25,45.26,46.75,520002
3/14/2007 15:30:00,46.5,46.5,44.61,45.28,336385
3/15/2007 15:30:00,45.99,46.8,45.31,45.62,420003
3/16/2007 15:30:00,46.09,46.5,43.53,44.67,288311
3/19/2007 15:30:00,45,46.65,44.61,46.43,305014
3/20/2007 15:30:00,46.2,46.31,45.1,45.34,326666
3/21/2007 15:30:00,45.5,45.82,44.9,45.41,266172
3/22/2007 15:30:00,45.77,46.5,45.7,46.19,294854
3/23/2007 15:30:00,46.9,48.1,45.23,47.12,699931
3/26/2007 15:30:00,47.37,47.85,46.81,47.04,223802
3/28/2007 15:30:00,46.8,47.66,46.5,46.88,1033902
3/29/2007 15:30:00,47.35,47.84,46.72,47.42,982921
3/30/2007 15:30:00,49,49.71,47.6,49.3,1023264
4/2/2007 15:30:00,49,49.14,47.04,47.52,471811
4/3/2007 15:30:00,48,48.38,47.01,47.87,226813
4/4/2007 15:30:00,48.48,48.6,47.11,47.42,220278
4/5/2007 15:30:00,48,50.6,47.15,49.84,963737
4/9/2007 15:30:00,51,52.5,50.2,50.89,422861
4/10/2007 15:30:00,51.5,54.63,51,53.27,1615042
4/11/2007 15:30:00,53.8,55.1,53.41,53.66,810187
4/12/2007 15:30:00,53.5,54.25,52.03,53.44,623913
4/13/2007 15:30:00,53.5,55.57,53.5,55.38,621699
4/16/2007 15:30:00,55.7,58.46,55.51,57.93,818587
4/17/2007 15:30:00,58.1,58.43,55.5,55.97,786773
4/18/2007 15:30:00,56.4,58.1,56.01,57.33,557613
4/19/2007 15:30:00,55.5,59.44,55.5,59,840892
4/20/2007 15:30:00,59.64,60.6,59,59.25,823169
4/23/2007 15:30:00,59.97,60.2,57.7,59.28,694279
4/24/2007 15:30:00,59,59.81,58.05,58.39,364667
4/25/2007 15:30:00,58.5,59.1,57.72,58.37,485616
4/26/2007 15:30:00,58.5,59.47,57.41,58.87,718454
4/27/2007 15:30:00,59.5,60,57.01,57.52,764184
4/30/2007 15:30:00,57.66,58.5,57.2,58.22,720924
5/3/2007 15:30:00,58.5,62.19,58.48,61.93,1218549
5/4/2007 15:30:00,62.3,62.4,60.2,60.32,463849
5/7/2007 15:30:00,61.7,61.7,59.53,59.88,245880
5/8/2007 15:30:00,60,60.8,58.21,58.67,390602
5/9/2007 15:30:00,57.1,60.2,57.1,59.73,314533
5/10/2007 15:30:00,59.98,61.05,59.13,59.71,504721
5/11/2007 15:30:00,59.94,60.37,49.9,59.97,310584
5/14/2007 15:30:00,61,61,59.8,60.75,305479
5/15/2007 15:30:00,60.9,61.2,60.02,60.42,151433
5/16/2007 15:30:00,60.5,61.8,60.1,61.26,442613
5/17/2007 15:30:00,61.98,62,60.57,60.93,262560
5/18/2007 15:30:00,60.7,61.2,59.5,59.93,158229
5/21/2007 15:30:00,61.24,61.24,59.5,60,395422
5/22/2007 15:30:00,60.79,62.5,60.2,61.93,900800
5/23/2007 15:30:00,62.11,63.2,61,62.1,741081
5/24/2007 15:30:00,62.27,62.4,60.83,61.44,381154
5/25/2007 15:30:00,60.6,61.5,60,61.33,114634
5/28/2007 15:30:00,61.55,63.35,61.55,62.78,830896
5/29/2007 15:30:00,63.29,63.98,62,63.56,824562
5/30/2007 15:30:00,63.8,63.8,60.6,61.53,673409
5/31/2007 15:30:00,62.52,62.52,59.83,60.51,814976
6/1/2007 15:30:00,61.2,62,60.53,60.85,346716
6/4/2007 15:30:00,62.37,62.37,59.8,60.27,185954
6/5/2007 15:30:00,60.5,60.8,59.5,60.02,163030
6/6/2007 15:30:00,60.1,60.49,57.52,57.77,149872
6/7/2007 15:30:00,56.8,58.6,56.72,58.18,178631
6/8/2007 15:30:00,58.4,58.99,57,58.05,225607
6/11/2007 15:30:00,59.9,60.9,57.6,57.78,136544
6/12/2007 15:30:00,57.5,58.4,53.86,56.45,365100
6/13/2007 15:30:00,56.9,57.24,55.3,55.54,351814
6/14/2007 15:30:00,56.57,58.79,56.1,58.2,446693
6/15/2007 15:30:00,59.4,59.46,58.4,58.63,657911
6/18/2007 15:30:00,59.1,59.2,57.12,57.5,118414
6/19/2007 15:30:00,57.59,59.9,57.5,59.58,259726
6/20/2007 15:30:00,59.9,61.1,59.51,60.59,353864
6/21/2007 15:30:00,61.25,61.25,60.01,60.61,173255
6/22/2007 15:30:00,60.6,61.2,59.92,60.33,554606
6/25/2007 15:30:00,60.63,61.28,60.2,60.93,457363
6/26/2007 15:30:00,61,61.7,60.41,60.78,254708
6/27/2007 15:30:00,61.02,61.28,60.11,60.55,396203
6/28/2007 15:30:00,61.2,61.2,59.54,59.93,204400
6/29/2007 15:30:00,60.23,61.48,60.15,61.16,406221
7/2/2007 15:30:00,61.3,61.9,60.11,60.48,161768
7/3/2007 15:30:00,60.6,62.6,60.4,62,651790
7/4/2007 15:30:00,62.2,64.1,61.61,63.86,536148
7/5/2007 15:30:00,63.81,64.4,61.59,62.86,328831
7/6/2007 15:30:00,62.85,63.35,62,62.4,152585
7/9/2007 15:30:00,62.55,63.44,62.55,63.21,379778
7/10/2007 15:30:00,63.9,66.21,63.5,65.47,985764
7/11/2007 15:30:00,64.52,67.19,64.52,66.81,597858
