Date,Open,High,Low,Close,Volume
1/2/2007 15:30:00,1123.9,1138,1095.1,1130,65217
1/3/2007 15:30:00,1143,1143,1099,1105.2,49386
1/4/2007 15:30:00,1110,1119,1084.15,1108.4,58691
1/5/2007 15:30:00,1115,1132.9,1093,1119.05,53017
1/8/2007 15:30:00,1119,1119,1085,1091.75,22713
1/9/2007 15:30:00,1094,1110,1069,1077.9,24217
1/10/2007 15:30:00,1098.9,1098.9,1023.55,1035.25,53484
1/11/2007 15:30:00,1040,1072.8,1020,1063.2,74587
1/12/2007 15:30:00,1070.1,1099,1069,1073.25,44093
1/15/2007 15:30:00,1099,1128,1082.05,1118.45,70251
1/16/2007 15:30:00,1125,1155,1105,1145.8,96766
1/17/2007 15:30:00,1158.7,1185.05,1150.2,1165.15,135323
1/18/2007 15:30:00,1170,1200,1131,1148.5,193017
1/19/2007 15:30:00,1250,1250,1111,1135.15,106346
1/22/2007 15:30:00,1154,1154,1085.5,1117.7,149794
1/23/2007 15:30:00,1105,1105,1045,1059.7,110472
1/24/2007 15:30:00,1090,1090,1026,1039.9,55321
1/25/2007 15:30:00,1025.05,1065,1017,1033.4,137114
1/29/2007 15:30:00,1036,1040,1002.8,1014.95,32260
1/31/2007 15:30:00,1018.5,1018.5,985,995.15,54983
2/1/2007 15:30:00,1000,1065.85,995.55,1059.15,107740
2/2/2007 15:30:00,1085,1098,1065.05,1091.25,154332
2/5/2007 15:30:00,1050,1120,1050,1107.9,89285
2/6/2007 15:30:00,1122.5,1130,1091.1,1114.55,93597
2/7/2007 15:30:00,1122.95,1141,1100,1126.35,73842
2/8/2007 15:30:00,1134,1134,1102,1118.05,38724
2/9/2007 15:30:00,1111,1122.8,1057.1,1061.75,141186
2/12/2007 15:30:00,1097.95,1097.95,1010,1028.2,91403
2/13/2007 15:30:00,1030,1035,980.55,990.75,53243
2/14/2007 15:30:00,990.75,990.75,925.05,962,144987
2/15/2007 15:30:00,1000,1000,962,966.65,87815
2/19/2007 15:30:00,970,985,956.25,964.35,77827
2/20/2007 15:30:00,980,980,952,955.5,56400
2/21/2007 15:30:00,964.85,970,953.5,957.7,291646
2/22/2007 15:30:00,970,1000,937.45,960.8,231436
2/23/2007 15:30:00,926,951.35,868.1,896.4,236201
2/26/2007 15:30:00,915,928,865.1,906.95,81706
2/27/2007 15:30:00,910,959.7,908,946.9,49241
2/28/2007 15:30:00,862.15,923,805,888.05,128157
3/1/2007 15:30:00,888,919,855,869.85,96084
3/2/2007 15:30:00,880,906.95,872,882.25,61566
3/5/2007 15:30:00,853,853,752,810.55,271858
3/6/2007 15:30:00,835,849,795,819.65,80118
3/7/2007 15:30:00,845,859.45,762,793.15,180657
3/8/2007 15:30:00,785,820,757.05,816.7,96740
3/9/2007 15:30:00,817,862,752,779.65,332523
3/12/2007 15:30:00,778.25,815.9,730,736.65,122391
3/13/2007 15:30:00,736,793,714,759.95,129028
3/14/2007 15:30:00,720,765,713,752.4,59778
3/15/2007 15:30:00,770,779.9,756,763.45,63783
3/16/2007 15:30:00,765,795,756,786.7,47682
3/19/2007 15:30:00,794,794,771.05,776.45,30032
3/20/2007 15:30:00,790,811.45,782.1,798.05,120635
3/21/2007 15:30:00,799,804.4,775,778.8,57587
3/22/2007 15:30:00,797,798.8,763,784.25,137587
3/23/2007 15:30:00,770,810,770,790.7,73957
3/26/2007 15:30:00,790.7,797,770,772.2,23826
3/28/2007 15:30:00,751.15,779.9,751.15,760.7,38370
3/29/2007 15:30:00,760,777.7,750,759.15,130867
3/30/2007 15:30:00,761,781,757.5,772.1,32937
4/2/2007 15:30:00,740.15,767,715.1,720.25,23873
4/3/2007 15:30:00,744,744,701.15,713.6,25749
4/4/2007 15:30:00,690,699,673.25,678.55,134087
4/5/2007 15:30:00,670.05,706.5,662,693.4,275250
4/9/2007 15:30:00,708,744.95,697,738.2,162005
