Date,Open,High,Low,Close,Volume
1/2/2006 15:30:00,35.17,36.2,35.09,35.63,856142
1/3/2006 15:30:00,35.84,36.17,35.56,35.72,592970
1/4/2006 15:30:00,36,36,34.84,35.02,1148949
1/5/2006 15:30:00,35.17,35.59,34.11,34.34,1201353
1/6/2006 15:30:00,34.17,35.84,34.17,35.7,871521
1/9/2006 15:30:00,36,37.09,35.75,36.94,1167070
1/10/2006 15:30:00,37.17,37.5,36.59,37.21,1051243
1/12/2006 15:30:00,37.3,37.39,36.54,37.14,762914
1/13/2006 15:30:00,37.67,37.67,36.69,36.94,819781
1/16/2006 15:30:00,36.84,37.16,36.66,36.87,664109
1/17/2006 15:30:00,37,37.38,36.67,36.78,922581
1/18/2006 15:30:00,36.67,39.97,36.38,36.83,862518
1/19/2006 15:30:00,37.2,37.24,35.44,36.02,2017371
1/20/2006 15:30:00,36.65,37.09,36.03,36.4,1529315
1/23/2006 15:30:00,36.5,36.64,35.37,36.05,1412426
1/24/2006 15:30:00,36.17,36.67,35.94,36.17,1068215
1/25/2006 15:30:00,36.67,36.67,35.22,35.69,1164362
1/27/2006 15:30:00,35.92,37.49,35.7,36.84,1319953
1/30/2006 15:30:00,36.84,39.24,36.5,38.7,2391877
1/31/2006 15:30:00,38.67,39.82,38.47,39.42,1882443
2/1/2006 15:30:00,39.67,40.03,38.03,38.34,1172249
2/2/2006 15:30:00,38.65,39.1,38.03,38.24,767754
2/3/2006 15:30:00,37.84,38.34,37,37.87,890198
2/6/2006 15:30:00,38,39.87,37.5,39.35,974005
2/7/2006 15:30:00,39.34,40,38.45,38.75,1242889
2/8/2006 15:30:00,39,39.67,38.24,39.24,1304080
2/10/2006 15:30:00,39.17,39.64,38.15,38.53,557814
2/13/2006 15:30:00,38.53,38.75,37.99,38.2,1363110
2/14/2006 15:30:00,38.34,38.5,37.47,37.64,1287910
2/15/2006 15:30:00,37.64,38.34,37.64,37.99,1273565
2/16/2006 15:30:00,38.09,38.25,37.45,37.59,749501
2/17/2006 15:30:00,37.67,37.9,36.05,36.62,3067806
2/20/2006 15:30:00,36.67,36.67,35.69,36.32,834967
2/21/2006 15:30:00,36.42,37.5,36.1,36.42,858094
2/22/2006 15:30:00,36.67,36.99,36.47,36.84,655653
2/23/2006 15:30:00,33.89,38.14,33.89,37.28,2329052
2/24/2006 15:30:00,37.5,38.45,37.25,37.49,1316610
2/27/2006 15:30:00,37.34,37.8,36.5,36.78,709345
2/28/2006 15:30:00,37,37.27,36.17,36.8,655386
3/1/2006 15:30:00,36.99,38,36.62,37.25,945316
3/2/2006 15:30:00,37.6,38.97,37.25,38.78,1282320
3/3/2006 15:30:00,39.03,39.5,38.67,38.87,1935464
3/6/2006 15:30:00,38.84,39.55,38.84,39.3,1090876
3/7/2006 15:30:00,39.3,39.32,37.97,38.09,1581229
3/8/2006 15:30:00,38.3,38.3,36.8,37.25,1932592
3/9/2006 15:30:00,36.67,37.75,36.67,37.62,861411
3/10/2006 15:30:00,37.67,38.07,37.37,37.77,728746
3/13/2006 15:30:00,38.34,40.64,37.84,39.22,2250383
3/14/2006 15:30:00,39.62,40.67,39.44,39.75,2803964
3/16/2006 15:30:00,40.17,41.34,39.85,41.14,2146995
3/17/2006 15:30:00,41.34,41.34,39.85,40.24,1015898
3/20/2006 15:30:00,40.87,41.05,40.34,40.5,734574
3/21/2006 15:30:00,40.75,40.8,39.27,39.52,989055
3/22/2006 15:30:00,39.85,39.85,37.77,38.1,2680790
3/23/2006 15:30:00,38.6,39.5,38.34,39.24,1455975
3/24/2006 15:30:00,39.45,40.34,39.05,40.25,1341232
3/27/2006 15:30:00,40.84,40.84,39.67,39.87,797439
3/28/2006 15:30:00,40.27,40.6,39.57,39.87,954348
3/29/2006 15:30:00,39.7,40.67,39.7,40.47,806150
3/30/2006 15:30:00,41,41.17,40.5,40.94,1104696
3/31/2006 15:30:00,40.94,41.97,40.52,41.34,796550
4/3/2006 15:30:00,41.64,42.15,41.29,41.82,590709
4/4/2006 15:30:00,42.04,44.15,41,43.92,2771356
4/5/2006 15:30:00,44.3,44.34,43.39,44,855653
4/7/2006 15:30:00,44.3,45,42.67,42.92,1580132
4/10/2006 15:30:00,43.2,44.07,42.12,43.82,694010
4/12/2006 15:30:00,41,44.27,41,42.97,1156354
4/13/2006 15:30:00,42.34,43.32,39,42.62,1947605
4/17/2006 15:30:00,43,43.94,42.35,42.54,805479
4/18/2006 15:30:00,43,44.64,42.67,44.37,1324812
4/19/2006 15:30:00,45,45,43.4,44.19,806821
4/20/2006 15:30:00,44.64,44.82,43.87,44.55,637063
4/21/2006 15:30:00,44.84,44.84,43.67,44.37,519502
4/24/2006 15:30:00,44.17,45.84,43.74,45.47,532050
4/25/2006 15:30:00,46,46.17,43.34,43.74,1226258
4/26/2006 15:30:00,44.3,44.84,43.7,44.19,698000
4/27/2006 15:30:00,44.67,48.17,44.57,46.42,3148534
4/28/2006 15:30:00,42.74,53.47,42,51.95,5444962
5/2/2006 15:30:00,53.34,54.3,52.34,52.59,1545130
5/3/2006 15:30:00,52.59,53.7,52.59,53,1760364
5/4/2006 15:30:00,53.34,53.65,51.54,52.17,866286
5/5/2006 15:30:00,49.09,53,49.09,52.05,405071
