Date,Open,High,Low,Close,Volume
1/2/2006 15:30:00,43.2,43.93,43.19,43.48,4722
1/3/2006 15:30:00,43.35,43.68,42.69,43.11,3156
1/4/2006 15:30:00,44.01,44.5,42.69,43.27,5855
1/5/2006 15:30:00,43.11,43.52,42.98,43.52,23725
1/6/2006 15:30:00,43.11,43.68,43.02,43.52,4241
1/9/2006 15:30:00,43.43,45.32,43.43,45.02,9471
1/10/2006 15:30:00,45.9,46.72,45,45.51,13414
1/12/2006 15:30:00,45.57,45.9,44.5,45.6,4635
1/13/2006 15:30:00,45.57,46.22,44.64,44.83,3674
1/16/2006 15:30:00,44.48,45.16,43.76,44.54,9389
1/17/2006 15:30:00,44.5,44.96,43.93,44.11,51920
1/18/2006 15:30:00,48.03,48.03,43.05,45.4,7883
1/19/2006 15:30:00,45.4,46.62,44.99,44.99,3758
1/20/2006 15:30:00,45.08,45.65,44.83,45.23,3225
1/23/2006 15:30:00,46.31,47.58,45.99,46.43,11890
1/24/2006 15:30:00,47.54,48.28,45.98,46.12,7765
1/25/2006 15:30:00,46.12,48.85,46.12,46.44,6157
1/27/2006 15:30:00,47.54,47.54,45.16,45.45,6926
1/30/2006 15:30:00,45.9,46.38,44.22,44.47,2922
1/31/2006 15:30:00,44.46,46.16,44.42,45.78,6352
2/1/2006 15:30:00,45.15,46.13,44.83,45.26,8462
2/2/2006 15:30:00,44.85,45.89,44.85,45.55,5863
2/3/2006 15:30:00,45,45.2,44.02,44.92,4165
2/6/2006 15:30:00,45.07,45.16,44.34,44.92,5765
2/7/2006 15:30:00,45.98,47.21,45.98,47.16,18763
2/8/2006 15:30:00,47.16,47.16,46.06,46.22,3391
2/10/2006 15:30:00,47.13,48.03,46.14,46.48,6532
2/13/2006 15:30:00,46.48,47.62,45.98,47.45,9496
2/14/2006 15:30:00,47.62,47.62,46.06,46.84,3831
2/15/2006 15:30:00,47.2,49.67,46.39,48.71,17960
2/16/2006 15:30:00,48.61,50.1,48.44,49.59,25588
2/17/2006 15:30:00,50.49,51.56,50.17,50.74,17225
2/20/2006 15:30:00,49.67,49.67,47.21,49.07,28824
2/21/2006 15:30:00,49.18,50,48.45,48.75,4822
2/22/2006 15:30:00,48.77,49.18,48.03,48.24,3251
2/23/2006 15:30:00,47.62,49.27,47.62,47.99,5536
2/24/2006 15:30:00,49.67,50.72,48.69,50.12,15470
2/27/2006 15:30:00,50.08,50.6,49.2,49.57,8760
2/28/2006 15:30:00,50.08,53.29,49.67,51.56,26795
3/1/2006 15:30:00,51.73,52.95,51.73,52.5,12554
3/2/2006 15:30:00,53.86,53.86,51.73,52.23,5524
3/3/2006 15:30:00,53.17,53.17,51.32,51.61,5326
3/6/2006 15:30:00,53.04,53.37,52.14,53.09,9971
3/7/2006 15:30:00,52.55,54.11,52.55,53.6,12103
3/8/2006 15:30:00,54.11,62.15,54.03,55.65,35335
3/9/2006 15:30:00,59.41,59.41,52.96,53.33,60629
3/10/2006 15:30:00,53.37,55.34,52.55,52.83,30910
3/13/2006 15:30:00,53.78,53.78,51.16,51.46,9178
3/14/2006 15:30:00,52.55,52.95,51.32,51.99,25068
3/16/2006 15:30:00,53.03,53.37,51.76,52.25,13267
3/17/2006 15:30:00,53.29,53.29,51.74,52.27,9319
3/20/2006 15:30:00,52.94,53.34,52.3,53.11,9651
3/21/2006 15:30:00,52.88,53.2,52.55,52.67,31965
3/22/2006 15:30:00,52.4,53.37,52.4,53.13,10309
3/23/2006 15:30:00,53.37,55.01,52.96,54.37,9337
3/24/2006 15:30:00,52.44,54.56,52.44,53.58,5371
3/27/2006 15:30:00,55,55,53.37,53.83,113077
3/28/2006 15:30:00,55.34,55.34,53.04,53.42,8465
3/29/2006 15:30:00,53.78,53.78,52.55,53.38,8712
3/30/2006 15:30:00,55.01,57.56,51.77,56.34,11420
3/31/2006 15:30:00,56.16,63.55,55.01,59.97,59004
4/3/2006 15:30:00,60.76,65.19,60.76,62.57,48733
4/4/2006 15:30:00,63.83,63.83,61.59,62.24,44904
4/5/2006 15:30:00,63.2,63.22,61.09,62.4,36163
4/7/2006 15:30:00,65.51,65.51,61.58,62.96,46960
4/10/2006 15:30:00,64.04,64.04,61.58,61.96,11809
4/12/2006 15:30:00,62.07,62.77,60.77,61.13,7129
4/13/2006 15:30:00,60.18,60.75,54.19,58.86,34974
4/17/2006 15:30:00,59.86,61.33,58.87,59.18,6210
4/18/2006 15:30:00,60.02,60.59,57.64,58.28,9380
4/19/2006 15:30:00,60.43,60.59,59.12,60.01,9623
4/20/2006 15:30:00,60.36,60.76,60.31,60.49,6968
4/21/2006 15:30:00,60.59,60.67,58.62,60.12,3733
4/24/2006 15:30:00,59.12,61.58,59.12,59.98,9887
4/25/2006 15:30:00,60.35,63.14,59.94,60.54,9032
4/26/2006 15:30:00,62.81,64.09,59.54,60.12,74956
4/27/2006 15:30:00,60.76,62.15,59.12,59.38,22196
4/28/2006 15:30:00,59.44,59.77,49.26,58.76,19359
5/2/2006 15:30:00,60.67,60.76,59.36,59.78,13204
5/3/2006 15:30:00,60.59,60.66,59.53,60.09,13951
5/4/2006 15:30:00,60.35,60.51,59.21,60.04,31272
5/5/2006 15:30:00,60.68,60.68,59.12,59.34,5727
5/8/2006 15:30:00,60.64,64.45,59.34,59.62,9485
5/9/2006 15:30:00,59.94,60.34,59.12,59.8,9803
5/10/2006 15:30:00,57.57,60.35,57.57,60.1,5309
5/11/2006 15:30:00,60.1,61.99,58.71,60.05,13241
5/12/2006 15:30:00,63.2,63.2,58.46,60.21,11116
5/15/2006 15:30:00,61,61.17,58.71,59.14,15187
5/16/2006 15:30:00,59.69,63.44,59.12,60.89,19942
5/17/2006 15:30:00,61.17,61.17,59.21,60.61,82699
5/18/2006 15:30:00,61.16,61.16,57.8,58.32,12180
5/19/2006 15:30:00,59.12,59.12,57.47,57.95,15773
5/22/2006 15:30:00,53.94,57.88,53.37,56.63,50321
5/23/2006 15:30:00,55.83,58.71,51.73,57.59,84558
5/24/2006 15:30:00,57.06,59.12,57.06,57.91,52805
5/25/2006 15:30:00,57.88,57.88,55.42,56.18,17106
5/26/2006 15:30:00,59.86,59.86,55.83,56.12,39173
5/29/2006 15:30:00,57.47,58.71,56.98,57.42,59624
5/30/2006 15:30:00,58.13,58.21,57.06,57.51,26091
5/31/2006 15:30:00,57.06,57.85,55.83,57.24,46675
6/1/2006 15:30:00,55.83,57.88,55.83,56.67,59785
6/2/2006 15:30:00,56.24,56.24,51.89,54.6,21127
6/5/2006 15:30:00,55.83,58.21,55.83,57.15,26187
6/6/2006 15:30:00,55.4,55.4,46.54,50.74,13167
6/7/2006 15:30:00,50.74,50.74,48.04,48.69,33846
6/8/2006 15:30:00,43.62,55.01,41.05,46.61,15659
6/9/2006 15:30:00,41.14,49.18,41.14,47.51,18684
6/12/2006 15:30:00,52.47,52.47,47.62,50.76,5441
6/13/2006 15:30:00,45.98,49.92,45.98,48.57,5443
6/14/2006 15:30:00,49.18,50.89,44.75,46.65,18224
6/15/2006 15:30:00,46.66,50.49,46.66,50.27,4402
6/16/2006 15:30:00,50.91,52.54,50.91,51.42,7035
6/19/2006 15:30:00,52.05,52.95,51.81,52.79,2428
6/20/2006 15:30:00,52.14,52.14,50.49,50.91,2053
6/21/2006 15:30:00,51.56,51.97,50.99,51.32,1695
6/22/2006 15:30:00,52.1,53.38,51.48,52.47,5636
6/23/2006 15:30:00,51.49,58.38,51.07,54.82,5124
6/26/2006 15:30:00,59.12,59.12,49.26,52.1,6428
6/27/2006 15:30:00,50.03,54.5,49.84,53.2,107016
6/28/2006 15:30:00,51.73,54.19,50.58,53.27,2495
6/29/2006 15:30:00,54.6,54.6,52.06,53.53,3509
6/30/2006 15:30:00,55.01,55.83,51.81,53.08,5199
7/3/2006 15:30:00,54.19,54.19,52.23,52.55,2144
7/4/2006 15:30:00,53.37,53.37,52.14,52.81,2265
7/5/2006 15:30:00,55.34,57.06,54.19,54.97,70681
7/6/2006 15:30:00,54.99,55.42,53.37,54.41,5614
7/7/2006 15:30:00,55.42,55.66,50.78,51.87,19499
7/10/2006 15:30:00,52.55,55.17,51.89,54.17,7041
7/11/2006 15:30:00,54.68,54.68,52.57,53.39,3474
7/12/2006 15:30:00,49.65,57.57,49.65,54.17,8098
7/13/2006 15:30:00,52.18,55.59,52.18,55.29,3554
7/14/2006 15:30:00,53.46,56.24,53.46,56,5445
7/17/2006 15:30:00,55.83,59.53,54.03,54.96,14927
7/18/2006 15:30:00,55.01,55.66,54.12,55.25,46665
7/19/2006 15:30:00,55.81,55.81,53.38,54.47,2699
7/20/2006 15:30:00,53.5,55.67,53.12,53.69,9425
7/21/2006 15:30:00,52.96,53.28,52.14,52.26,3078
7/24/2006 15:30:00,50.54,51.31,49.36,49.99,5484
7/25/2006 15:30:00,52.05,52.14,49.84,51.26,4171
7/26/2006 15:30:00,50.49,52.55,50.49,51.76,6883
7/27/2006 15:30:00,52.96,53.78,51.73,52.2,10043
7/28/2006 15:30:00,51.89,53.37,51.56,51.78,1568
7/31/2006 15:30:00,52.05,52.38,50.25,50.58,3875
8/1/2006 15:30:00,50.79,51.31,50.09,50.4,2999
8/2/2006 15:30:00,53.35,53.35,50.25,51.08,6301
8/3/2006 15:30:00,52.13,52.13,49.88,51.33,16579
8/4/2006 15:30:00,52.88,52.88,49.76,50.95,9990
8/7/2006 15:30:00,52.88,52.88,50.58,51.45,3091
8/8/2006 15:30:00,52.05,52.55,51.32,51.69,46916
8/9/2006 15:30:00,52.14,53.29,51.73,52.86,25004
8/10/2006 15:30:00,50.93,53.62,50.93,53.02,20995
8/11/2006 15:30:00,54.11,55.67,53.37,54.59,7249
8/14/2006 15:30:00,54.6,56.4,54.6,55.65,17049
8/16/2006 15:30:00,56.32,57.34,55.96,56.85,19194
8/17/2006 15:30:00,56.24,59.51,56.24,58.02,10478
8/18/2006 15:30:00,54.27,59.12,54.27,58.13,12302
8/21/2006 15:30:00,60.59,61.5,57.88,59.13,8878
8/22/2006 15:30:00,60.1,60.35,58.34,59.12,11050
8/23/2006 15:30:00,55.83,60.18,55.83,59.61,40362
8/24/2006 15:30:00,59.44,60.76,58.16,59.36,61707
8/25/2006 15:30:00,60.4,63.71,59.12,61.86,189453
8/28/2006 15:30:00,62.38,62.73,61.3,62.04,56250
8/29/2006 15:30:00,62.4,63.35,60.25,60.45,48940
8/30/2006 15:30:00,61.42,61.42,59.12,59.25,33302
8/31/2006 15:30:00,60.1,60.76,57.85,58.15,36679
9/1/2006 15:30:00,58.62,60.43,57.1,57.82,30208
9/4/2006 15:30:00,58.77,59.12,57.98,58.72,27947
9/5/2006 15:30:00,59.41,60.43,57.8,58.38,51098
9/6/2006 15:30:00,59.1,59.1,58.13,58.33,19234
9/7/2006 15:30:00,58.75,58.77,56.85,57.16,25360
9/8/2006 15:30:00,57.8,57.8,55.17,55.73,56769
9/11/2006 15:30:00,55.86,56.29,53.2,53.55,30812
9/12/2006 15:30:00,52.61,55.5,51.76,52.93,74458
9/13/2006 15:30:00,55.44,55.44,52.22,52.76,51243
9/14/2006 15:30:00,52.88,54.17,51.89,52.15,39330
9/15/2006 15:30:00,52.81,57.8,51.53,54.45,407863
9/18/2006 15:30:00,54.52,54.75,52.88,53.04,174690
9/19/2006 15:30:00,53.81,53.81,52.22,52.86,80983
9/20/2006 15:30:00,52.84,53.17,51.61,52.55,596202
9/21/2006 15:30:00,52.88,53.86,52.73,53.27,132750
9/22/2006 15:30:00,53.53,55.31,53.53,54.99,83978
9/25/2006 15:30:00,55.65,58.95,54.68,57.75,201927
9/26/2006 15:30:00,57.8,60,55.88,57.41,106493
9/27/2006 15:30:00,58.79,58.79,56.52,57.42,35633
9/28/2006 15:30:00,57.19,59.72,56.01,58.84,47362
9/29/2006 15:30:00,59.12,61.22,57.8,60.2,99465
10/3/2006 15:30:00,60.38,60.73,58.46,58.59,39461
10/4/2006 15:30:00,60.27,60.27,58.13,58.34,28032
10/5/2006 15:30:00,58.94,59.76,57.88,58.15,22763
10/6/2006 15:30:00,58.79,59.1,58.21,58.56,17610
10/9/2006 15:30:00,57.93,59.12,57.8,58.66,21620
10/10/2006 15:30:00,58.56,58.79,57.98,58.21,17860
10/11/2006 15:30:00,58.21,59.4,57.47,57.62,30023
10/12/2006 15:30:00,58.43,58.43,56.51,56.9,23294
10/13/2006 15:30:00,57.44,58.46,56.78,57.11,31841
10/16/2006 15:30:00,57.18,57.74,56.82,56.9,36270
10/17/2006 15:30:00,57.46,57.46,56.19,56.42,13668
10/18/2006 15:30:00,56.37,56.78,55.77,56.03,15213
10/19/2006 15:30:00,56.78,56.78,55.22,55.82,13941
10/20/2006 15:30:00,55.83,58.36,55.5,56.39,35880
10/23/2006 15:30:00,56.9,57.42,55.52,55.95,13996
10/26/2006 15:30:00,56.49,57.51,56.16,57.24,27121
10/27/2006 15:30:00,57.93,58.79,57.31,58.34,39724
10/30/2006 15:30:00,58.46,63.55,58.46,59.67,170429
10/31/2006 15:30:00,60.41,60.41,54.73,55.01,215423
11/1/2006 15:30:00,55.5,57.11,55.5,55.8,57723
11/2/2006 15:30:00,56.47,56.49,54.85,55.16,70724
11/3/2006 15:30:00,55.8,56.49,51.14,52.33,239054
11/6/2006 15:30:00,52.63,54.19,52.38,52.6,106407
11/7/2006 15:30:00,54.16,54.52,52.88,52.97,65634
11/8/2006 15:30:00,53.47,53.5,51.89,52.51,62564
11/9/2006 15:30:00,52.88,53.37,52.38,53.16,52697
11/10/2006 15:30:00,53.83,53.83,52.55,52.6,35198
11/13/2006 15:30:00,53.43,55.52,51.23,53.25,200856
11/14/2006 15:30:00,53.86,54.52,53.34,53.5,372725
11/15/2006 15:30:00,54.16,54.16,53.16,53.52,271754
11/16/2006 15:30:00,53.86,53.86,51.89,53.71,108604
11/17/2006 15:30:00,54.16,54.16,53.2,53.52,100795
11/20/2006 15:30:00,54.49,54.49,52.55,53.01,67727
11/21/2006 15:30:00,54.12,54.12,50.74,51.32,297277
11/22/2006 15:30:00,52.48,52.83,50.91,51.41,136956
11/23/2006 15:30:00,51.43,52.38,50.74,50.95,331623
11/24/2006 15:30:00,51.2,51.89,50.92,51.66,49565
11/27/2006 15:30:00,51.89,52.38,51.56,52.07,32679
11/28/2006 15:30:00,52.2,52.2,51.23,51.63,22672
11/29/2006 15:30:00,52.22,52.22,51.56,51.79,25093
11/30/2006 15:30:00,52.22,52.43,51.17,51.68,32710
12/1/2006 15:30:00,52.38,52.47,51.58,52.07,27695
12/4/2006 15:30:00,51.25,53.17,51.25,52.09,32773
12/5/2006 15:30:00,51.91,52.38,51.56,51.97,24606
12/6/2006 15:30:00,51.89,52.04,51.1,51.38,32292
12/7/2006 15:30:00,51.73,52.71,51.23,52.37,23215
12/8/2006 15:30:00,52.22,52.88,51.79,52.35,29500
12/11/2006 15:30:00,52.22,52.7,50.02,50.64,57294
12/12/2006 15:30:00,52.45,52.45,49.62,50.59,61333
12/13/2006 15:30:00,51.56,53.14,48.69,51.97,106934
12/14/2006 15:30:00,52.81,52.81,50.58,51.32,29399
12/15/2006 15:30:00,51.56,52.22,49.92,50.23,98777
12/18/2006 15:30:00,51.46,51.46,49.43,50.64,91611
12/19/2006 15:30:00,51.56,51.73,49.05,49.99,102868
12/20/2006 15:30:00,50.54,50.58,49.97,50.36,20685
12/21/2006 15:30:00,50.56,50.91,49.97,50.54,13397
12/22/2006 15:30:00,49.53,50.25,49.53,49.69,45698
12/26/2006 15:30:00,49.43,50.89,49.43,50.64,20089
12/27/2006 15:30:00,51.37,51.37,50.25,50.51,26552
12/28/2006 15:30:00,50.91,51.89,47.8,48.15,169884
12/29/2006 15:30:00,48.28,49.89,48.28,49.35,34784
1/2/2007 15:30:00,49.92,49.92,48.8,49.61,33273
1/3/2007 15:30:00,49.92,49.92,49.13,49.38,80634
1/4/2007 15:30:00,49.92,49.92,48.77,49.25,74910
1/5/2007 15:30:00,49.92,51.73,49.92,50.31,248659
1/8/2007 15:30:00,52.15,52.15,49.92,50.22,127614
1/9/2007 15:30:00,50.66,50.84,50,50.31,76596
1/10/2007 15:30:00,50.25,50.58,49.92,50.3,143291
1/11/2007 15:30:00,49.95,50.91,49.07,50.17,130533
1/12/2007 15:30:00,51.48,51.51,49.72,50.27,22191
1/15/2007 15:30:00,49.62,50.54,49.62,50.3,37203
1/16/2007 15:30:00,50.54,51.2,50.08,50.25,48944
1/17/2007 15:30:00,50.72,51.07,50.25,50.92,46860
1/18/2007 15:30:00,50.91,52.09,49.94,51.76,41353
1/19/2007 15:30:00,52.51,52.55,50.43,51.33,14985
1/22/2007 15:30:00,51.89,52.51,50.92,51.07,73578
1/23/2007 15:30:00,50.91,51.05,50.25,50.45,7863
1/24/2007 15:30:00,51.89,52.22,50.64,51.97,684987
1/25/2007 15:30:00,53.7,53.7,50.91,51.3,19720
1/29/2007 15:30:00,51.89,51.97,49.95,50.15,14374
1/31/2007 15:30:00,51.23,51.56,49.92,50.77,20030
2/1/2007 15:30:00,50.41,50.91,49.94,50.4,7922
2/2/2007 15:30:00,51.22,51.4,50.25,50.56,13733
2/5/2007 15:30:00,50.58,50.91,49.58,49.95,19091
2/6/2007 15:30:00,49.89,50.2,47.95,49.41,22786
2/7/2007 15:30:00,50.71,50.71,49.1,49.31,13064
2/8/2007 15:30:00,50.22,50.23,47.95,48.23,236343
2/9/2007 15:30:00,48.59,49.26,47.88,48.38,24844
2/12/2007 15:30:00,48.54,49.59,47.64,48.18,20628
2/13/2007 15:30:00,47.37,48.31,47.34,47.77,74801
2/14/2007 15:30:00,47.92,48.69,47.64,48.43,15789
2/15/2007 15:30:00,47.67,49.85,47.67,49.25,27650
2/19/2007 15:30:00,50.58,50.58,49.3,50.35,26037
2/20/2007 15:30:00,51.04,51.04,50.08,50.64,26074
2/21/2007 15:30:00,51.23,51.56,51,51.27,22736
2/22/2007 15:30:00,51.56,52.22,51.23,51.51,39739
2/23/2007 15:30:00,50.58,51.56,49.31,50.92,28605
2/26/2007 15:30:00,51.87,51.89,50.08,50.77,26742
2/27/2007 15:30:00,51.23,51.73,50.91,51.37,20141
2/28/2007 15:30:00,49.07,50.91,46.04,49.48,22034
