Date,Open,High,Low,Close,Volume
1/2/2006 15:30:00,47.33,47.58,44,46.7,3724644
1/3/2006 15:30:00,46.98,48.08,46.77,47.7,6264778
1/4/2006 15:30:00,48,49.57,48,48.98,12511367
1/5/2006 15:30:00,49.02,49.57,48.17,48.47,4651288
1/6/2006 15:30:00,48.67,48.75,47.3,48.48,9578029
1/9/2006 15:30:00,48.75,49,47.8,48.45,6484044
1/10/2006 15:30:00,48.57,48.83,47.5,47.62,5029410
1/12/2006 15:30:00,47.67,48.67,46.75,48.2,5189938
1/13/2006 15:30:00,48.33,48.92,47.88,48.5,8199048
1/16/2006 15:30:00,48.33,48.67,47.83,48.07,3807264
1/17/2006 15:30:00,48.07,48.37,47.33,47.48,2978950
1/18/2006 15:30:00,47.33,47.47,45.35,47.12,3716199
1/19/2006 15:30:00,47.33,48.08,47.22,47.7,4035867
1/20/2006 15:30:00,48.08,49.17,47.93,49.02,6092602
1/23/2006 15:30:00,48.98,50.83,48.5,50.63,11304235
1/24/2006 15:30:00,50.83,52.93,50.53,51.57,9053022
1/25/2006 15:30:00,51.72,52.73,50.92,52.58,8038291
1/27/2006 15:30:00,52.58,52.93,51.57,51.82,6465945
1/30/2006 15:30:00,51.82,52.47,50.62,51.75,4659163
1/31/2006 15:30:00,52,52.22,51.35,51.6,2608393
2/1/2006 15:30:00,51.67,52.12,51.17,51.68,5640238
2/2/2006 15:30:00,51.67,52.27,51.5,51.9,6157135
2/3/2006 15:30:00,51.82,51.9,50.63,50.82,3686669
2/6/2006 15:30:00,50.82,52.4,50.32,52.23,6493259
2/7/2006 15:30:00,52.5,54,52.23,53.63,7377851
2/8/2006 15:30:00,53.67,53.82,52.27,53.07,4056602
2/10/2006 15:30:00,53.08,54.68,53.08,54.37,5915504
2/13/2006 15:30:00,54.33,54.95,51.7,54.33,3481678
2/14/2006 15:30:00,54.33,54.9,53.68,54.52,5420612
2/15/2006 15:30:00,54.7,57.23,54.7,56.95,14277839
2/16/2006 15:30:00,57.03,57.5,55.22,55.43,6818091
2/17/2006 15:30:00,56,56,53.7,53.93,7384190
2/20/2006 15:30:00,53.83,54.43,52.53,54.28,8138077
2/21/2006 15:30:00,54.42,55.28,54.33,54.75,4927956
2/22/2006 15:30:00,54.67,54.92,54.1,54.53,4098315
2/23/2006 15:30:00,54.67,56,54.53,55.33,6694274
2/24/2006 15:30:00,55.33,55.33,54.08,54.5,4741559
2/27/2006 15:30:00,54.95,55.83,54.52,55.37,3703758
2/28/2006 15:30:00,55.83,58.55,54.22,57.48,19469748
3/1/2006 15:30:00,57.5,58.63,57.38,57.95,8461588
