Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,61.07,61.85,61.05,61.63,10703200
1/4/2006 16:00:00,61.93,62.64,61.76,62.58,9068100
1/5/2006 16:00:00,62.57,62.95,62.1,62.32,9852600
1/6/2006 16:00:00,62.36,62.74,62.14,62.6,5919300
1/9/2006 16:00:00,62.52,63.01,62.43,62.99,7103700
1/10/2006 16:00:00,62.52,63.1,62.5,63.1,6658300
1/11/2006 16:00:00,62.96,62.99,61.94,62.5,8825400
1/12/2006 16:00:00,62.5,62.55,61.8,62.21,7262400
1/13/2006 16:00:00,62.24,62.29,61.42,61.82,7043600
1/17/2006 16:00:00,61.31,62.07,61.1,61.28,9674000
1/18/2006 16:00:00,61.75,62.24,61.35,61.69,7563200
1/19/2006 16:00:00,62.3,62.62,61.7,62.17,7494800
1/20/2006 16:00:00,61.24,62.3,60.73,60.8,11025000
1/23/2006 16:00:00,60.75,61.24,60.61,61.19,7217400
1/24/2006 16:00:00,60.19,61.24,59.36,59.36,19957500
1/25/2006 16:00:00,61,61,58.04,58.5,25369100
1/26/2006 16:00:00,58.75,59.5,58.56,58.64,15946100
1/27/2006 16:00:00,58.95,59.21,58.35,58.71,11596400
1/30/2006 16:00:00,58.71,58.75,58.04,58.4,11877600
1/31/2006 16:00:00,58.15,58.34,57.45,57.54,20564100
2/1/2006 16:00:00,57.52,58.42,57.65,57.86,13401700
2/2/2006 16:00:00,57.84,58.38,57.59,57.65,10014600
2/3/2006 16:00:00,57.26,57.5,57.02,57.38,11020300
2/6/2006 16:00:00,57.5,57.56,56.65,56.85,10619500
2/7/2006 16:00:00,57,57.33,56.7,56.8,10340700
2/8/2006 16:00:00,57.05,58.74,56.93,58.6,14627600
2/9/2006 16:00:00,59.15,59.71,58.3,58.55,12131500
2/10/2006 16:00:00,58.7,58.76,58.24,58.39,8158200
2/13/2006 16:00:00,58.38,58.64,58.04,58.5,5015500
2/14/2006 16:00:00,58.7,59.27,58.7,59.05,9817200
2/15/2006 16:00:00,59.08,59.4,58.7,59.1,8314500
2/16/2006 16:00:00,59.45,59.45,58.58,58.98,11893800
2/17/2006 16:00:00,59.18,59.27,58.74,59.07,6773400
2/21/2006 16:00:00,59.13,59.32,58.75,59.14,6489900
2/22/2006 16:00:00,59.01,59.2,58.7,59.03,8647200
2/23/2006 16:00:00,59,59.06,58.45,58.59,9753400
