Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,59.92,59.92,58.93,59.76,4424100
1/4/2006 16:00:00,59.55,59.97,59.35,59.73,3380500
1/5/2006 16:00:00,59.61,59.88,59.19,59.38,3054100
1/6/2006 16:00:00,59.6,59.74,59.24,59.6,3051800
1/9/2006 16:00:00,59.61,59.61,59.2,59.3,4769700
1/10/2006 16:00:00,59.3,59.39,58.83,59.1,2945200
1/11/2006 16:00:00,59.28,59.5,58.57,58.86,3161000
1/12/2006 16:00:00,58.69,58.95,58.43,58.84,2984500
1/13/2006 16:00:00,59,59.14,58.61,58.7,2544200
1/17/2006 16:00:00,58.2,58.64,58.14,58.43,3129700
1/18/2006 16:00:00,58.4,58.77,58.04,58.69,3050400
1/19/2006 16:00:00,58.34,58.45,57.92,58.33,3209400
1/20/2006 16:00:00,58.28,58.28,57.24,57.28,4123800
1/23/2006 16:00:00,57.26,57.83,57.22,57.5,2852600
1/24/2006 16:00:00,57.55,58.39,57.55,58.04,4745200
1/25/2006 16:00:00,58.1,58.19,57.41,57.64,3613400
1/26/2006 16:00:00,57.64,57.96,57.35,57.4,3707100
1/27/2006 16:00:00,57.11,58.28,56,58.2,7294100
1/30/2006 16:00:00,58.01,58.3,57.57,57.64,3602800
1/31/2006 16:00:00,57.31,57.6,56.95,57.18,5381000
2/1/2006 16:00:00,57.16,57.3,56.8,57.27,4632800
2/2/2006 16:00:00,57.08,57.61,57,57.45,3478600
2/3/2006 16:00:00,57.15,57.59,57.1,57.34,3346900
2/6/2006 16:00:00,57.24,57.58,56.77,56.77,3285100
2/7/2006 16:00:00,56.8,57.28,56.53,56.86,4962300
2/8/2006 16:00:00,57.7,57.71,56.95,57.28,5287600
2/9/2006 16:00:00,57.3,58.08,57.06,57.71,5398100
2/10/2006 16:00:00,57.59,58.15,57.3,57.93,4216700
2/13/2006 16:00:00,57.83,57.84,57.34,57.6,2854000
2/14/2006 16:00:00,57.6,58.09,57.32,57.95,3227500
2/15/2006 16:00:00,57.74,58.05,57.31,57.88,2519200
2/16/2006 16:00:00,57.65,58.7,57.58,58.7,3396900
2/17/2006 16:00:00,58.57,59.12,58.54,58.92,4136300
2/21/2006 16:00:00,58.72,59.1,58.72,58.84,4428600
2/22/2006 16:00:00,58.75,59.17,58.75,59,3959900
2/23/2006 16:00:00,58.76,59.9,58.6,59.66,6065400
2/24/2006 16:00:00,59.64,59.7,59.25,59.54,3984400
2/27/2006 16:00:00,59.77,59.9,59.5,59.51,3548400
2/28/2006 16:00:00,59.18,59.43,58.98,59.11,4638200
3/1/2006 16:00:00,59.04,59.47,58.97,59.25,3500200
3/2/2006 16:00:00,59,59.4,58.95,59.28,4228800
3/3/2006 16:00:00,59.26,59.63,59.02,59.48,3865300
3/6/2006 16:00:00,59.32,59.69,59.32,59.68,3505300
3/7/2006 16:00:00,59.47,59.83,59.46,59.76,4036400
3/8/2006 16:00:00,59.57,59.93,59.56,59.82,5897300
3/9/2006 16:00:00,59.8,60.15,59.68,60,4640700
3/10/2006 16:00:00,59.94,60.39,59.91,60.34,3656300
3/13/2006 16:00:00,60,60.55,59.9,60.49,4221500
3/14/2006 16:00:00,60.47,60.5,60.1,60.43,4336400
3/15/2006 16:00:00,60.11,60.19,59.59,60.06,3607200
3/16/2006 16:00:00,60.2,60.2,59.7,59.9,3011900
3/17/2006 16:00:00,60.09,60.11,59.73,60.06,4085900
3/20/2006 16:00:00,59.95,60.13,59.5,59.86,2759700
3/21/2006 16:00:00,59.69,59.89,59.32,59.53,3005600
3/22/2006 16:00:00,59.35,59.9,59.35,59.82,2094300
3/23/2006 16:00:00,59.6,59.64,58.98,59.13,3006400
3/24/2006 16:00:00,59,59.54,58.84,59.34,2180800
3/27/2006 16:00:00,59.14,59.17,58.85,58.99,2911800
3/28/2006 16:00:00,58.76,58.81,58.39,58.44,3856000
3/29/2006 16:00:00,58.59,58.81,58.13,58.41,4185200
3/30/2006 16:00:00,58.29,58.59,58.04,58.11,3924900
3/31/2006 16:00:00,58.4,58.5,57.74,57.79,4488900
4/3/2006 16:00:00,57.73,58.24,57.69,57.85,5097900
4/4/2006 16:00:00,57.92,57.92,57.62,57.81,3549100
4/5/2006 16:00:00,57.79,58.02,57.58,57.89,3505100
4/6/2006 16:00:00,57.78,58.28,57.55,58.02,3452200
4/7/2006 16:00:00,58.18,58.38,57.73,57.8,3925300
4/10/2006 16:00:00,57.76,58.35,57.76,58.09,3203300
4/11/2006 16:00:00,58.16,58.21,57.53,57.81,2902700
4/12/2006 16:00:00,57.84,57.99,57.79,57.88,2186400
4/13/2006 16:00:00,57.84,58.12,57.68,57.87,2567600
4/17/2006 16:00:00,57.64,57.8,57.31,57.39,2696200
4/18/2006 16:00:00,57.79,58.29,57.55,58.08,3285300
4/19/2006 16:00:00,58.18,58.65,57.95,58.08,4554900
4/20/2006 16:00:00,58.02,58.21,57.3,57.3,6195800
4/21/2006 16:00:00,57.45,57.61,57.09,57.2,5696000
4/24/2006 16:00:00,57.21,57.56,56.51,57.27,6023000
4/25/2006 16:00:00,57.05,57.84,57.01,57.5,5627300
4/26/2006 16:00:00,57.9,58.03,57.72,57.86,4331000
4/27/2006 16:00:00,56.95,58.31,56.95,58.08,6510600
4/28/2006 16:00:00,58.06,58.35,57.91,58.24,5002800
5/1/2006 16:00:00,58.25,58.72,57.98,58.17,3901200
5/2/2006 16:00:00,58.13,58.17,57.75,57.95,3267600
5/3/2006 16:00:00,57.75,58.45,57.69,58.45,3961900
5/4/2006 16:00:00,58.5,58.99,58.47,58.74,4345500
5/5/2006 16:00:00,58.98,59.31,58.8,59.18,3899500
5/8/2006 16:00:00,59.06,59.25,58.75,58.9,3695800
5/9/2006 16:00:00,58.6,58.82,58.42,58.71,2878100
5/10/2006 16:00:00,58.56,59.01,58.42,58.84,3168500
5/11/2006 16:00:00,58.7,58.81,58.17,58.35,3133900
5/12/2006 16:00:00,58.36,58.68,57.91,58.64,4834700
5/15/2006 16:00:00,58.67,59.85,58.51,59.71,7064200
5/16/2006 16:00:00,59.5,60,59.45,59.66,4478500
5/17/2006 16:00:00,59.22,60,59.16,59.65,5313700
5/18/2006 16:00:00,59.35,59.47,58.6,58.69,4429900
5/19/2006 16:00:00,58.69,58.91,58.1,58.6,5633200
5/22/2006 16:00:00,58.4,59.58,58.35,59.27,5482200
5/23/2006 16:00:00,59.65,60.13,59.55,59.73,5006200
5/24/2006 16:00:00,59.77,60.52,59.36,60.36,5498700
5/25/2006 16:00:00,60.19,60.62,60.11,60.56,5511600
5/26/2006 16:00:00,60.68,60.77,60.36,60.66,4104100
5/30/2006 16:00:00,60.21,60.65,60.21,60.42,3525100
5/31/2006 16:00:00,60.33,60.52,60.02,60.46,4409100
6/1/2006 16:00:00,60.37,61.19,60.34,61.1,4681900
6/2/2006 16:00:00,60.87,61,60.22,60.67,4373500
6/5/2006 16:00:00,60.37,60.5,59.66,59.75,4318200
6/6/2006 16:00:00,60.04,60.52,59.75,60.52,4495200
6/7/2006 16:00:00,60.66,60.79,60.3,60.3,4056300
6/8/2006 16:00:00,60.16,60.52,59.87,60.13,5256400
6/9/2006 16:00:00,60,60.3,59.7,59.93,3212100
6/12/2006 16:00:00,59.78,60.1,59.56,59.72,3964600
6/13/2006 16:00:00,59.45,59.84,58.92,58.99,5054500
6/14/2006 16:00:00,58.74,59.08,58.55,58.86,4012000
6/15/2006 16:00:00,58.99,59.08,58.62,59.08,5154300
6/16/2006 16:00:00,59.38,59.85,59.38,59.7,6197700
6/19/2006 16:00:00,59.93,60.08,59.11,59.31,3811300
6/20/2006 16:00:00,59.24,59.86,59.11,59.29,3961500
6/21/2006 16:00:00,59.43,59.94,59.31,59.61,3471200
6/22/2006 16:00:00,59.55,60.37,59.32,60.02,4317300
6/23/2006 16:00:00,59.63,60.03,59.45,59.49,2952500
6/26/2006 16:00:00,59.31,59.61,59.07,59.51,2877100
6/27/2006 16:00:00,58.71,59.59,58.65,59.11,3501200
6/28/2006 16:00:00,59.16,59.37,58.77,58.91,3054100
6/29/2006 16:00:00,59.36,59.59,59.07,59.5,2973200
6/30/2006 16:00:00,59.55,60.5,59.55,60.04,5366400
7/3/2006 16:00:00,60.6,60.73,60.2,60.27,1810800
7/5/2006 16:00:00,60.27,60.72,60.1,60.27,3799700
7/6/2006 16:00:00,60.11,60.67,60.07,60.36,3481400
7/7/2006 16:00:00,60.35,60.72,60.23,60.46,2498200
