Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,46.92,47.18,46.15,47.08,16296700
1/4/2006 16:00:00,47,47.24,46.45,46.58,17757900
1/5/2006 16:00:00,46.58,46.83,46.32,46.64,14970900
1/6/2006 16:00:00,46.8,46.91,46.35,46.57,12599800
1/9/2006 16:00:00,46.56,46.97,46.36,46.6,15620000
1/10/2006 16:00:00,46.4,46.51,45.88,46.21,15634800
1/11/2006 16:00:00,46.06,46.25,45.75,46.1,14745100
1/12/2006 16:00:00,46.22,46.23,45.71,45.8,10546600
1/13/2006 16:00:00,45.83,46,45.68,45.8,10791300
1/17/2006 16:00:00,45.4,45.58,45,45.31,14606100
1/18/2006 16:00:00,45.32,45.65,44.92,45.18,10911300
1/19/2006 16:00:00,45.88,45.88,44.85,45.14,14584000
1/20/2006 16:00:00,45,45.15,44.17,44.19,25164400
1/23/2006 16:00:00,43.5,44.39,43.49,43.96,23459900
1/24/2006 16:00:00,44.08,44.68,44.04,44.24,13500300
1/25/2006 16:00:00,44.26,44.65,44.15,44.63,15132000
1/26/2006 16:00:00,45,45.16,44.67,44.9,18449500
1/27/2006 16:00:00,44.9,45.11,44.61,44.8,12250800
1/30/2006 16:00:00,44.75,45.35,44.25,44.48,14816000
1/31/2006 16:00:00,44.65,44.73,44.12,44.23,19151000
2/1/2006 16:00:00,44.21,44.24,43.86,43.95,15854800
2/2/2006 16:00:00,43.95,43.97,43.37,43.44,14745300
2/3/2006 16:00:00,43.42,43.55,42.75,43.09,17097100
2/6/2006 16:00:00,43.4,43.65,43.24,43.37,12554600
2/7/2006 16:00:00,43.6,43.87,43.46,43.49,13917200
2/8/2006 16:00:00,43.55,43.72,43.34,43.67,12564600
2/9/2006 16:00:00,43.75,44.05,43.7,43.83,13766200
2/10/2006 16:00:00,43.77,44.02,43.41,43.92,9039000
2/13/2006 16:00:00,43.7,43.96,43.3,43.7,8329500
2/14/2006 16:00:00,43.92,44.49,43.73,44.16,17049500
2/15/2006 16:00:00,44.07,44.6,43.93,44.36,12818500
2/16/2006 16:00:00,44.39,44.73,44.28,44.69,11773900
2/17/2006 16:00:00,44.74,45.32,44.52,44.66,11938900
2/21/2006 16:00:00,44.71,44.83,44.51,44.55,10381400
2/22/2006 16:00:00,44.45,45.17,44.42,45.08,14729700
2/23/2006 16:00:00,45.19,45.7,45,45.37,17345700
2/24/2006 16:00:00,45.39,45.89,44.94,45.72,13832400
2/27/2006 16:00:00,45.84,46,45.7,45.98,18460500
2/28/2006 16:00:00,45.77,46.05,45.75,45.85,20699100
3/1/2006 16:00:00,45.6,45.67,45.31,45.6,14389500
3/2/2006 16:00:00,45.25,45.36,44.9,45.15,14367500
3/3/2006 16:00:00,45.08,45.49,44.98,45.19,12401800
3/6/2006 16:00:00,45.1,45.3,44.91,45.21,11593800
3/7/2006 16:00:00,45.09,45.69,45.05,45.62,12823300
3/8/2006 16:00:00,45.42,45.89,45.42,45.71,14201200
3/9/2006 16:00:00,45.69,45.81,45.49,45.55,11922800
3/10/2006 16:00:00,45.5,46,45.45,45.95,12535400
3/13/2006 16:00:00,45.96,46.2,45.79,45.94,10090800
3/14/2006 16:00:00,46,46.4,45.94,46.26,14444600
3/15/2006 16:00:00,46.05,46.53,45.87,46.4,12677100
3/16/2006 16:00:00,46.48,46.9,46.48,46.76,13005400
3/17/2006 16:00:00,46.97,46.98,46.64,46.9,18970500
3/20/2006 16:00:00,46.71,47,46.56,46.9,11243700
3/21/2006 16:00:00,46.75,46.98,46.52,46.57,11775700
3/22/2006 16:00:00,46.4,47.14,46.4,46.99,11157200
3/23/2006 16:00:00,46.87,46.98,46.61,46.7,10793900
3/24/2006 16:00:00,46.78,47,46.66,46.9,10495100
3/27/2006 16:00:00,46.79,46.93,46.67,46.82,10450400
3/28/2006 16:00:00,46.62,47.01,45.95,46.06,16082600
3/29/2006 16:00:00,46.17,46.3,45.72,45.97,11836200
3/30/2006 16:00:00,45.8,46.09,45.48,45.61,12826100
3/31/2006 16:00:00,45.73,45.92,45.45,45.54,10968800
4/3/2006 16:00:00,45.85,46.22,45.66,45.68,11832600
4/4/2006 16:00:00,45.77,46.4,45.7,46.29,8828800
4/5/2006 16:00:00,46.21,46.57,46.21,46.55,10249600
