Date,Open,High,Low,Close,Volume
1/2/2006 15:30:00,39.74,41.26,39.45,41.1,18678
1/3/2006 15:30:00,41.56,41.56,40.19,40.72,19522
1/4/2006 15:30:00,40.29,41.1,40.29,40.58,14762
1/5/2006 15:30:00,41.09,41.28,40.15,40.29,6974
1/6/2006 15:30:00,41.05,41.19,40,40.08,18440
1/9/2006 15:30:00,40.19,40.81,39.28,39.76,9839
1/10/2006 15:30:00,40.09,40.09,37.9,38.13,16804
1/12/2006 15:30:00,40.19,40.19,36.81,38.56,23122
1/13/2006 15:30:00,38.82,42,36.71,40.4,91908
1/16/2006 15:30:00,38.4,41.92,38.4,41.12,14105
1/17/2006 15:30:00,41.1,42.01,41.03,41.94,34573
1/18/2006 15:30:00,41.08,41.91,40.55,41.13,57388
1/19/2006 15:30:00,39.64,41.65,39.64,41.58,8077
1/20/2006 15:30:00,42,42,41.1,41.49,9783
1/23/2006 15:30:00,41.46,41.63,41.1,41.47,12226
1/24/2006 15:30:00,41.33,42.19,41.33,41.39,9746
1/25/2006 15:30:00,41.37,41.77,41.28,41.53,15808
1/27/2006 15:30:00,41.46,43.66,41.1,43.08,28567
1/30/2006 15:30:00,42.11,47.39,42.11,47.38,65669
1/31/2006 15:30:00,49.77,49.77,46.49,46.88,15761
2/1/2006 15:30:00,43.66,47.03,42.9,46.67,26600
2/2/2006 15:30:00,47.63,47.63,44.93,45.78,6185
2/3/2006 15:30:00,45.77,46.62,45.77,46.03,4307
2/6/2006 15:30:00,45.76,47.26,45.76,46.12,2678
2/7/2006 15:30:00,46.94,48.4,46.44,47.22,7898
2/8/2006 15:30:00,44.02,47.46,44.02,45.96,2898
2/10/2006 15:30:00,46.57,47.03,45.94,46.48,2713
2/13/2006 15:30:00,45.94,47.67,45.94,47.26,5435
2/14/2006 15:30:00,47.03,47.67,46.81,47.05,5248
2/15/2006 15:30:00,46.67,50.68,46.67,49.95,17309
2/16/2006 15:30:00,50.23,52.16,48.86,49.79,19018
2/17/2006 15:30:00,48.59,49.32,48.15,48.59,5242
2/20/2006 15:30:00,46.59,50.23,46.59,49.83,2909
2/21/2006 15:30:00,48.77,50.37,48.77,50.03,7930
2/22/2006 15:30:00,51.88,51.88,50.24,50.63,9402
2/23/2006 15:30:00,51.6,52.51,50.87,51.13,7151
