Date,Open,High,Low,Close,Volume
1/2/2006 15:30:00,37.78,41.16,37.78,41.16,60105
1/3/2006 15:30:00,44.6,45.28,42.01,45.28,203255
1/4/2006 15:30:00,46.8,47.55,44,45.55,290172
1/5/2006 15:30:00,45.2,47.42,45.03,45.44,199907
1/6/2006 15:30:00,45.4,45.84,43.5,44.04,59390
1/9/2006 15:30:00,44.55,46.25,44.06,44.54,45365
1/10/2006 15:30:00,44.6,45.8,43.02,43.3,40118
1/12/2006 15:30:00,43.31,44.2,42.06,42.98,26622
1/13/2006 15:30:00,43.44,44.54,42.4,43.1,25879
1/16/2006 15:30:00,43,43.59,42.6,42.65,21533
1/17/2006 15:30:00,43,43,41.8,42,16459
1/18/2006 15:30:00,42.2,42.4,40.2,40.35,23388
1/19/2006 15:30:00,40.35,42.2,40.35,41.51,28204
1/20/2006 15:30:00,41.7,42.9,40.84,41.45,15336
1/23/2006 15:30:00,40.6,41.56,40.42,40.81,11940
1/24/2006 15:30:00,41.6,41.88,40.4,40.57,13183
1/25/2006 15:30:00,40.8,41.52,40.2,40.34,17282
1/27/2006 15:30:00,40.43,40.95,39.1,39.76,13185
1/30/2006 15:30:00,39.8,39.85,37.78,38.81,22481
1/31/2006 15:30:00,38.03,40.38,38.02,40.09,23296
2/1/2006 15:30:00,40,40.98,39.7,39.97,31459
2/2/2006 15:30:00,40.2,40.36,39,39.13,14710
2/3/2006 15:30:00,39,40.39,38.2,39.36,14722
2/6/2006 15:30:00,39.89,41.33,38.84,41.33,21161
2/7/2006 15:30:00,43.4,43.4,40.82,41.88,26479
2/8/2006 15:30:00,40.9,42.7,40.9,41.92,19590
2/10/2006 15:30:00,42.15,46.12,41.7,46.12,62724
2/13/2006 15:30:00,46.97,48.6,46.3,47.32,68099
2/14/2006 15:30:00,47,48.6,46.43,47.12,41027
2/15/2006 15:30:00,47.2,47.68,44.77,45.21,39447
2/16/2006 15:30:00,45.38,45.38,43.4,44.12,17012
2/17/2006 15:30:00,42,46.33,42,46.23,29307
2/20/2006 15:30:00,46,46,43.92,43.92,11557
2/21/2006 15:30:00,43.8,44.52,42.12,43.87,20339
2/22/2006 15:30:00,44,44,42.44,42.83,22680
2/23/2006 15:30:00,43,43.36,41.64,42.03,8467
2/24/2006 15:30:00,42.41,42.65,40.6,41.07,9374
2/27/2006 15:30:00,41.78,41.78,40.64,40.8,5967
2/28/2006 15:30:00,40.8,41.6,39.9,40.26,9386
3/1/2006 15:30:00,40.8,42.28,39.01,41.99,10981
3/2/2006 15:30:00,42.8,42.8,41.8,42.42,10418
3/3/2006 15:30:00,42.01,42.78,40.8,41.32,21513
3/6/2006 15:30:00,40.41,41.49,40.4,40.48,12045
3/7/2006 15:30:00,40.6,41.6,39.2,41.41,21426
3/8/2006 15:30:00,41.8,42.5,41.05,42.15,45754
3/9/2006 15:30:00,42.78,44,42,42.11,22444
3/10/2006 15:30:00,42.2,43.19,41.4,42.81,11903
3/13/2006 15:30:00,42.81,43.6,42.22,43.05,40582
3/14/2006 15:30:00,43,43.55,41.41,42.8,15918
3/16/2006 15:30:00,42.22,43,42,42.28,17750
3/17/2006 15:30:00,42,42.77,42,42.35,22381
3/20/2006 15:30:00,41.4,42.7,41.21,42.26,19946
3/21/2006 15:30:00,41.62,43,41.62,42.08,18354
3/22/2006 15:30:00,41.8,42.18,41.7,42.04,2872
3/23/2006 15:30:00,42,42.4,41.52,42.07,6417
3/24/2006 15:30:00,41.8,41.8,41.48,41.61,20721
3/27/2006 15:30:00,42,43.69,41.41,43.69,30286
3/28/2006 15:30:00,45.8,45.87,42.02,43.35,11732
3/29/2006 15:30:00,43.8,44,42.02,43.95,8446
3/30/2006 15:30:00,42.42,44.3,42.42,43.37,6200
3/31/2006 15:30:00,43.45,44.1,43.04,43.87,12187
4/3/2006 15:30:00,44,46,42.46,45.07,14347
4/4/2006 15:30:00,44.7,46.5,44.7,45.96,19839
4/5/2006 15:30:00,46,46.98,46,46.52,16118
4/7/2006 15:30:00,48,48,44.2,44.27,21096
4/10/2006 15:30:00,43.2,44.2,41.72,41.97,9236
4/12/2006 15:30:00,43.2,43.2,41.4,41.47,31729
4/13/2006 15:30:00,41.4,41.6,40.8,41.21,4281
4/17/2006 15:30:00,41.9,41.92,39,39.74,13954
4/18/2006 15:30:00,42.8,42.8,40.01,40.83,6723
4/19/2006 15:30:00,40.6,40.7,39,40,13700
4/20/2006 15:30:00,41.8,41.8,39.6,40.07,4349
4/21/2006 15:30:00,38.27,40.78,38.25,40.16,4355
4/24/2006 15:30:00,40.8,42.4,39.02,39.31,18566
4/25/2006 15:30:00,39.2,39.96,38,38.14,8752
4/26/2006 15:30:00,38.2,39.4,38,38.35,6404
4/27/2006 15:30:00,38.14,39,36.3,36.91,26507
4/28/2006 15:30:00,36.4,37,35.6,36.64,7768
5/2/2006 15:30:00,38.2,38.2,36.2,36.4,4098
5/3/2006 15:30:00,36.5,38.8,36.5,37.7,10689
5/4/2006 15:30:00,38.52,40.8,38.4,39.87,23817
5/5/2006 15:30:00,40.48,40.6,39.42,40.07,9493
5/8/2006 15:30:00,41.8,44.08,40,40.31,6898
5/9/2006 15:30:00,40,40.46,40,40.36,6549
5/10/2006 15:30:00,40,40.8,40,40.52,4972
5/11/2006 15:30:00,40.54,40.6,39,40.07,13671
5/12/2006 15:30:00,38.4,40.2,38.4,40,5477
5/15/2006 15:30:00,39,40.19,38.4,39.14,16076
5/16/2006 15:30:00,39,39.4,38,39.02,9894
5/17/2006 15:30:00,39.6,39.8,38.6,39.01,5180
5/18/2006 15:30:00,39,39,36.78,37.06,5258
5/19/2006 15:30:00,39.6,39.6,33.44,34.07,8363
5/22/2006 15:30:00,33.6,34.48,31,34.01,11244
5/23/2006 15:30:00,32,34.9,31.4,33.87,8601
5/24/2006 15:30:00,35,36.35,35,35.04,6046
5/25/2006 15:30:00,33.32,35.8,33.25,35.02,2972
5/26/2006 15:30:00,34.7,35.56,33.6,33.64,3324
5/29/2006 15:30:00,36.96,36.96,33.21,33.54,4846
5/30/2006 15:30:00,33.6,34.3,33.21,33.55,3090
5/31/2006 15:30:00,33.6,33.6,30.2,31.45,6157
6/1/2006 15:30:00,30.8,32.69,29.5,30.21,1132
6/2/2006 15:30:00,27.4,31.78,27.2,31.15,13127
6/5/2006 15:30:00,31.93,31.93,30.01,30.81,4032
6/6/2006 15:30:00,30,31.12,30,30.88,6131
6/7/2006 15:30:00,30.03,31.08,29.4,29.95,4953
6/8/2006 15:30:00,28.2,28.2,27,27,5772
6/9/2006 15:30:00,27,29.38,27,29,8095
6/12/2006 15:30:00,29,29.78,28.6,29.35,8101
6/13/2006 15:30:00,27.8,28.21,26.42,27.19,30189
6/14/2006 15:30:00,26.41,26.9,24.9,25.37,7676
6/15/2006 15:30:00,25.41,26.76,25.25,26.19,8866
6/16/2006 15:30:00,27.8,28.4,27.2,27.33,7002
6/19/2006 15:30:00,27.6,29.38,27,28.66,7944
6/20/2006 15:30:00,28.02,29.4,28,29.16,6073
6/21/2006 15:30:00,29.6,30,29,29.74,3554
6/22/2006 15:30:00,30,31.27,30,30.44,4418
6/23/2006 15:30:00,30.44,31.98,29.4,31.51,3807
6/26/2006 15:30:00,29.6,31.18,29.4,30.09,5644
6/27/2006 15:30:00,29.4,29.4,28.5,28.99,3217
6/28/2006 15:30:00,29.1,29.6,28.35,28.9,4219
6/29/2006 15:30:00,29,29.38,27.9,27.99,2687
6/30/2006 15:30:00,29,30,28.21,29.47,4763
7/3/2006 15:30:00,29.2,30.4,29.2,29.6,1697
7/4/2006 15:30:00,29.8,30.38,29.41,29.93,3830
7/5/2006 15:30:00,29.2,31.2,29,30.96,5572
7/6/2006 15:30:00,30.03,31.8,29.41,30.1,3988
7/7/2006 15:30:00,30.2,31.6,30,31.05,3888
7/10/2006 15:30:00,31,31,29.21,29.92,3343
7/11/2006 15:30:00,29.4,29.8,29.03,29.51,6189
7/12/2006 15:30:00,28,28.93,28,28.85,3548
7/13/2006 15:30:00,28.4,29.2,28.02,29.04,1628
7/14/2006 15:30:00,27.62,28.81,27.62,28.76,1833
7/17/2006 15:30:00,28.1,28.76,27.5,27.82,3415
7/18/2006 15:30:00,27.82,29,27.6,28.9,2457
7/19/2006 15:30:00,27.23,28.58,27.23,28.37,3056
7/20/2006 15:30:00,27.5,28,27.1,27.94,5380
7/21/2006 15:30:00,27.99,27.99,25.16,25.45,3743
7/24/2006 15:30:00,25.8,26,24,25.01,4366
7/25/2006 15:30:00,25.79,25.79,24.4,24.69,2579
7/26/2006 15:30:00,24.8,25.38,24.44,24.59,2728
7/27/2006 15:30:00,26,26,23.6,24.7,2781
7/28/2006 15:30:00,24.44,25,24.44,24.81,1539
7/31/2006 15:30:00,23.84,25.58,23.8,24.75,3504
8/1/2006 15:30:00,25.32,25.32,24.25,24.44,1343
8/2/2006 15:30:00,23.72,25.5,23.72,25.37,3293
8/3/2006 15:30:00,25.55,26.6,24.73,26.45,7471
8/4/2006 15:30:00,26.2,27.8,26.2,27.18,4518
8/7/2006 15:30:00,27.02,28.15,27.02,27.99,2416
8/8/2006 15:30:00,28.2,28.65,28.02,28.36,2288
8/9/2006 15:30:00,27.11,28.4,27.11,27.88,12037
8/10/2006 15:30:00,28.36,28.36,27.61,28.2,1968
8/11/2006 15:30:00,28.7,29.4,28.32,28.65,1527
8/14/2006 15:30:00,28.41,29.4,28.41,29.18,3595
8/16/2006 15:30:00,29.8,30,29,29.14,4941
8/17/2006 15:30:00,29.79,30,28.21,29.23,3348
8/18/2006 15:30:00,29.4,29.78,28.41,29.48,5722
8/21/2006 15:30:00,30.8,30.8,29.48,29.89,2732
8/22/2006 15:30:00,29.6,30.17,29.6,29.98,4306
8/23/2006 15:30:00,29.3,30.01,29.3,29.64,8170
8/24/2006 15:30:00,29.8,29.99,29.2,29.94,3834
8/25/2006 15:30:00,29.6,29.8,29,29.4,3299
8/28/2006 15:30:00,29.02,29.8,29.02,29.55,6006
8/29/2006 15:30:00,29.2,30.4,29,29.39,6388
8/30/2006 15:30:00,29.4,29.6,29,29.31,3952
8/31/2006 15:30:00,29.3,29.3,28.65,29.1,11255
9/1/2006 15:30:00,28.8,29.4,28.8,29.2,2777
9/4/2006 15:30:00,29.41,29.41,29,29.09,5077
9/5/2006 15:30:00,28.61,29.29,28.61,29.01,2776
9/6/2006 15:30:00,28.8,29.2,28.2,29.04,10416
9/7/2006 15:30:00,29.38,29.38,28.2,29,2228
9/8/2006 15:30:00,29.14,29.69,28.4,29.3,18154
9/11/2006 15:30:00,29.4,29.8,28.4,28.67,32215
9/12/2006 15:30:00,28.65,28.8,28.2,28.69,9857
9/13/2006 15:30:00,28.8,29.2,28.32,28.92,8447
9/14/2006 15:30:00,29,29.2,29,29,5997
9/15/2006 15:30:00,28.8,30.2,28.6,29.77,5536
9/18/2006 15:30:00,29.8,30.95,29.66,29.95,9208
9/19/2006 15:30:00,29.8,29.8,29.02,29.52,2876
9/20/2006 15:30:00,29.02,30.2,29,29.98,11406
9/21/2006 15:30:00,30.2,30.99,29.38,29.68,5629
9/22/2006 15:30:00,29.1,29.79,29.1,29.64,2056
9/25/2006 15:30:00,29.2,29.39,29,29.12,6729
9/26/2006 15:30:00,29.39,29.6,28.97,29.19,11962
9/27/2006 15:30:00,29.3,29.4,29,29.3,2649
9/28/2006 15:30:00,28.61,29.14,28.61,29.03,3390
9/29/2006 15:30:00,29,29.79,29,29.42,4043
10/3/2006 15:30:00,31,31,29.4,29.68,2465
10/4/2006 15:30:00,29.52,29.68,29.2,29.42,1765
10/5/2006 15:30:00,29.4,29.8,29.4,29.55,2374
10/6/2006 15:30:00,29.42,29.42,29,29.13,9523
10/9/2006 15:30:00,29,29.58,29,29.32,2563
10/10/2006 15:30:00,29.6,31,29.6,30.78,3637
10/11/2006 15:30:00,29.8,31.8,29.65,31.01,7445
10/12/2006 15:30:00,30.4,31.19,30.12,30.94,8328
10/13/2006 15:30:00,30.65,31.4,30.62,31.24,10190
10/16/2006 15:30:00,31.5,32,30.66,31.18,17809
10/17/2006 15:30:00,31,31,30.32,30.5,3466
10/18/2006 15:30:00,30.1,30.6,30.1,30.43,2856
10/19/2006 15:30:00,30.4,30.6,29.8,30.32,3948
10/20/2006 15:30:00,30,30.4,29,30.27,6607
10/23/2006 15:30:00,29.6,30.56,29.42,30.01,3927
10/26/2006 15:30:00,29.2,30.2,29.2,29.86,3014
10/27/2006 15:30:00,30.06,31,30.06,30.48,2972
10/30/2006 15:30:00,28.8,31.58,28.61,30.97,5022
10/31/2006 15:30:00,30.8,31.25,30.32,31.04,5375
11/1/2006 15:30:00,30.4,30.6,30.07,30.27,7561
11/2/2006 15:30:00,30.17,30.2,29.4,29.57,6641
11/3/2006 15:30:00,29.54,29.8,29.37,29.6,3704
11/6/2006 15:30:00,29.2,29.8,28.2,29.48,24208
11/7/2006 15:30:00,29.2,29.2,28.6,29.01,14311
11/8/2006 15:30:00,28.88,29.69,28.6,29.11,2071
11/9/2006 15:30:00,29,30.9,28.88,30.52,6345
11/10/2006 15:30:00,30.6,30.82,30,30.38,8495
11/13/2006 15:30:00,30,30.18,29.2,29.91,5213
11/14/2006 15:30:00,30,31,29.8,30.15,9860
11/15/2006 15:30:00,29.62,30.39,29.41,30.09,4621
11/16/2006 15:30:00,30.4,30.4,29.58,30.25,9956
11/17/2006 15:30:00,29.84,29.86,29.01,29.35,4394
11/20/2006 15:30:00,29,30.19,28.12,30.01,15353
11/21/2006 15:30:00,29.7,30.08,29.2,29.56,7441
11/22/2006 15:30:00,29.3,29.97,29.3,29.7,2425
11/23/2006 15:30:00,28.8,29.57,28.8,29.01,54708
11/24/2006 15:30:00,29,29.75,29,29.34,7214
11/27/2006 15:30:00,28.84,29.51,28.84,29.1,2358
11/28/2006 15:30:00,30,30.41,29.81,30.22,7138
11/29/2006 15:30:00,30,30,29.03,29.5,3491
11/30/2006 15:30:00,28.84,29.8,28.84,29.28,5340
12/1/2006 15:30:00,29.43,29.58,29.01,29.22,7224
12/4/2006 15:30:00,29.21,29.21,28.47,28.77,3548
12/5/2006 15:30:00,28.61,28.79,28.2,28.37,4316
12/6/2006 15:30:00,28.4,28.4,27.8,27.94,3436
12/7/2006 15:30:00,28,28,27.1,27.29,5762
12/8/2006 15:30:00,27.4,27.4,26.4,26.94,8893
12/11/2006 15:30:00,26.44,27.37,26,27.06,7636
12/12/2006 15:30:00,26.5,27.45,26.05,26.6,5108
12/13/2006 15:30:00,26,27.4,25.5,27.13,2990
12/14/2006 15:30:00,27.4,28.57,27.4,28.34,174166
12/15/2006 15:30:00,28.4,28.6,27.61,28.13,2098
12/18/2006 15:30:00,28.2,29.2,28,28.98,18101
12/19/2006 15:30:00,28.6,28.6,27.65,27.81,2489
12/20/2006 15:30:00,28.04,29.4,28.04,29.08,4899
12/21/2006 15:30:00,29.17,29.17,27.8,28.5,4763
12/22/2006 15:30:00,28.6,28.6,27.94,28.48,1341
