Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,126.7,129.44,124.23,128.87,6188700
1/4/2006 16:00:00,127.35,128.91,126.38,127.09,4862000
1/5/2006 16:00:00,125.65,127.32,125.61,127.04,3717600
1/6/2006 16:00:00,127.29,129.25,127.29,128.84,4319600
1/9/2006 16:00:00,128.83,130.62,128,130.39,4723500
1/10/2006 16:00:00,130.35,132.95,130.02,132.03,5539800
1/11/2006 16:00:00,131.45,133.8,131.42,131.97,4671400
1/12/2006 16:00:00,131.4,133.21,131.38,132.25,3725500
1/13/2006 16:00:00,132.02,133.66,131.9,133.26,2894900
1/17/2006 16:00:00,130.65,133.13,130.59,132.59,3624600
1/18/2006 16:00:00,131.06,132.68,131.01,131.85,4305400
1/19/2006 16:00:00,132.72,134.82,132.71,133.82,5020700
1/20/2006 16:00:00,132.85,134.06,131.25,131.44,5513900
1/23/2006 16:00:00,131.64,134.18,131.64,132.87,3849400
1/24/2006 16:00:00,132.63,134.09,132.34,133,3758000
1/25/2006 16:00:00,133.65,134.04,132.46,133.56,3740500
1/26/2006 16:00:00,133.01,138.36,133.01,137.4,4808300
1/27/2006 16:00:00,137.93,139.75,137.1,138.94,3687900
1/30/2006 16:00:00,139.55,140.64,138.71,139.87,3167900
1/31/2006 16:00:00,139.73,141.86,138.45,141.25,4908100
2/1/2006 16:00:00,141.4,142.95,140.43,141.71,3640600
2/2/2006 16:00:00,142.27,143.77,141.4,142.52,3711000
2/3/2006 16:00:00,141.55,143.12,140.7,142.74,4213900
2/6/2006 16:00:00,142.61,144.1,141.6,142.82,3849300
2/7/2006 16:00:00,142.35,143.31,139.48,139.48,5208000
2/8/2006 16:00:00,140.1,141.93,139.32,141.14,4481400
2/9/2006 16:00:00,141.14,142.85,140.49,140.85,3059500
2/10/2006 16:00:00,140.67,141.85,137.8,140.81,4433100
2/13/2006 16:00:00,139.65,141.8,139.15,139.65,2155200
2/14/2006 16:00:00,141.2,142.32,138.77,141.78,3003200
2/15/2006 16:00:00,142,145.5,141.4,145.14,4330700
2/16/2006 16:00:00,146.1,146.35,144.21,145.9,2847500
2/17/2006 16:00:00,146.19,146.22,144.06,145.54,2407300
2/21/2006 16:00:00,145.56,145.75,143.01,143.45,2539800
2/22/2006 16:00:00,143.45,145.53,143.23,145.53,2674200
2/23/2006 16:00:00,145.61,145.61,143.79,143.96,2512500
2/24/2006 16:00:00,143.05,145.4,143.05,144.16,2314700
2/27/2006 16:00:00,144.81,145.25,143.34,143.82,2282200
2/28/2006 16:00:00,143.6,144.16,141.11,141.29,3911700
3/1/2006 16:00:00,141.98,143.74,141.56,143.15,2994900
3/2/2006 16:00:00,143.07,144.86,142.24,144,2902300
3/3/2006 16:00:00,143.5,147.48,143.1,146,4042700
3/6/2006 16:00:00,146.54,147.08,144.31,145.02,2900600
3/7/2006 16:00:00,144.37,144.46,143.17,144.28,2820600
3/8/2006 16:00:00,143.55,144.67,141.26,142.49,3633100
3/9/2006 16:00:00,142.66,143.4,141.2,141.7,2262100
3/10/2006 16:00:00,141.63,142.45,140.15,141.53,3247100
3/13/2006 16:00:00,141.55,142.95,139.18,140.72,4946200
3/14/2006 16:00:00,146,149.5,145.62,149.42,11364100
3/15/2006 16:00:00,148.3,149.64,147.59,149,7557200
3/16/2006 16:00:00,149.1,149.69,147.45,147.69,6025900
3/17/2006 16:00:00,148.25,151.54,148.03,150.36,6670900
3/20/2006 16:00:00,150.05,152.66,149.8,152.18,4896800
3/21/2006 16:00:00,151.61,152,149.01,149.4,4460800
3/22/2006 16:00:00,148.3,152.36,148.3,151.82,3770800
3/23/2006 16:00:00,151.17,151.96,150.45,151.67,3852700
3/24/2006 16:00:00,151.68,152.57,150.88,152.17,2651700
3/27/2006 16:00:00,152.13,155.36,152.13,155,4314600
3/28/2006 16:00:00,155.01,157.82,154.16,154.16,6481600
3/29/2006 16:00:00,154.9,157.57,154.84,156.9,4458100
3/30/2006 16:00:00,157.73,159.63,155.71,156.81,4771000
3/31/2006 16:00:00,157,158.38,156.25,156.96,3298500
4/3/2006 16:00:00,157.99,159.88,156.92,158.12,3979900
4/4/2006 16:00:00,158.12,161.36,158.12,161,5088900
4/5/2006 16:00:00,160.5,161.92,160,160.75,4193600
4/6/2006 16:00:00,160.07,162.07,160.07,162.04,4180900
4/7/2006 16:00:00,162.04,163.16,159.89,161.02,4964600
4/10/2006 16:00:00,162.5,164.05,161.45,162.46,4471400
4/11/2006 16:00:00,163,163.3,158.51,159.15,4963300
4/12/2006 16:00:00,159.63,160.3,158.4,159.52,3434000
4/13/2006 16:00:00,158.45,159.69,158.2,159.43,2217100
4/17/2006 16:00:00,160.25,163.21,160,161.94,3381700
4/18/2006 16:00:00,162.75,166.18,161.32,165.55,4829800
4/19/2006 16:00:00,164.55,167.57,163.6,167.05,4466200
4/20/2006 16:00:00,166.06,169.31,166.06,168.55,4894400
4/21/2006 16:00:00,168.62,168.66,165.32,165.89,3563300
4/24/2006 16:00:00,165.5,166.27,163.5,165.35,3432400
4/25/2006 16:00:00,165.35,165.6,161.76,162.8,3361400
4/26/2006 16:00:00,163.5,164.65,162.2,163.4,3032600
4/27/2006 16:00:00,162.63,165.79,162.1,163.97,4063900
4/28/2006 16:00:00,163.81,164.89,158.65,160.29,5349000
5/1/2006 16:00:00,160.3,161.67,156.08,156.45,5652300
5/2/2006 16:00:00,157.6,160,157.12,158.83,3710800
5/3/2006 16:00:00,159.5,159.85,157.75,159.15,2521200
5/4/2006 16:00:00,159.16,160.33,158,158.04,2554600
5/5/2006 16:00:00,159.75,164.6,159.69,164.39,3751400
5/8/2006 16:00:00,164.39,166.55,162.2,163.53,2395700
5/9/2006 16:00:00,163.75,166.26,163.7,165.75,2628300
5/10/2006 16:00:00,164.85,165.41,162.05,164.09,3215900
5/11/2006 16:00:00,164.38,164.49,158.6,159.28,3640200
5/12/2006 16:00:00,158.75,159.7,156.07,156.11,4579700
5/15/2006 16:00:00,154.6,157,151.11,153.14,6119200
5/16/2006 16:00:00,153.6,155.11,150.62,152.7,4091000
5/17/2006 16:00:00,150.85,151.15,147,148.21,7477600
5/18/2006 16:00:00,149.36,150.25,146.25,147.03,6246300
5/19/2006 16:00:00,148.3,150.45,146.75,149.41,6502500
5/22/2006 16:00:00,148.51,148.51,143.34,146.15,8492900
5/23/2006 16:00:00,148.05,148.88,143.7,143.7,5607800
5/24/2006 16:00:00,143.65,145.59,140.42,143.92,8788600
5/25/2006 16:00:00,145.75,147.32,144.68,147.32,5614100
5/26/2006 16:00:00,150,152.94,149.47,152.94,5749800
5/30/2006 16:00:00,151,151.95,149.25,149.83,5217200
5/31/2006 16:00:00,151.3,152.39,149.15,150.95,5262300
6/1/2006 16:00:00,150.92,153.59,150.19,153.55,4208500
6/2/2006 16:00:00,156.85,157,153.6,154.09,4253400
6/5/2006 16:00:00,154.95,156.29,149.85,150.4,5525200
6/6/2006 16:00:00,151.39,152.06,147.5,149.24,6562600
6/7/2006 16:00:00,149.25,152.53,148.3,149.95,4319900
6/8/2006 16:00:00,148.8,150.67,144.5,149.76,7885500
6/9/2006 16:00:00,151,152.1,148.99,149.89,4407700
6/12/2006 16:00:00,150.3,150.72,145,145,5866800
6/13/2006 16:00:00,144.5,145.5,138.01,139.25,15680800
6/14/2006 16:00:00,139.75,141.76,136.79,138.5,10541300
6/15/2006 16:00:00,140.4,145.19,140.07,144.12,10970400
6/16/2006 16:00:00,143.3,144.59,142.61,144,6368800
6/19/2006 16:00:00,144.98,145.75,142.95,143.75,6537400
