Date,Open,High,Low,Close,Volume
1/2/2006 15:30:00,70.88,72,70.7,71.35,268552
1/3/2006 15:30:00,68,71.8,68,71.33,128279
1/4/2006 15:30:00,72,73.51,71.4,73.21,536992
1/5/2006 15:30:00,73.2,74.3,72.53,73.95,385350
1/6/2006 15:30:00,74,77.5,73,76.9,861686
1/9/2006 15:30:00,75.82,77.3,74,76.48,551770
1/10/2006 15:30:00,76.49,77,74.53,74.83,679980
1/12/2006 15:30:00,74.83,75.88,74,74.67,394951
1/13/2006 15:30:00,75.28,75.28,72.6,72.99,338288
1/16/2006 15:30:00,73.9,74.71,72.7,74.14,342812
1/17/2006 15:30:00,74.1,75.3,74.1,74.9,261012
1/18/2006 15:30:00,74.4,75.25,72.01,74.47,624486
1/19/2006 15:30:00,74.47,74.47,72.03,72.85,643350
1/20/2006 15:30:00,73.05,74.4,72.21,72.52,485215
1/23/2006 15:30:00,72.55,72.98,70.1,71.95,417751
1/24/2006 15:30:00,72.2,72.9,71.36,71.59,634509
1/25/2006 15:30:00,71.63,72.9,71.32,71.89,877702
1/27/2006 15:30:00,74.48,75,73.11,73.71,665114
1/30/2006 15:30:00,73.71,74.9,73.41,74.36,331146
1/31/2006 15:30:00,73.62,76.64,73,76.25,615004
2/1/2006 15:30:00,76.5,77.4,73.5,73.88,637204
2/2/2006 15:30:00,73.88,75.2,73.61,73.95,477656
2/3/2006 15:30:00,73.4,73.97,72.45,73.18,276902
2/6/2006 15:30:00,73.18,75,72.6,74.48,574649
2/7/2006 15:30:00,73.6,77.5,73.52,77.08,874349
2/8/2006 15:30:00,77.2,77.2,75,76.25,335222
2/10/2006 15:30:00,76.89,77.2,75.22,76.21,606121
2/13/2006 15:30:00,75.1,76.2,74.31,74.65,290988
2/14/2006 15:30:00,75.1,76,73.92,74.79,598994
2/15/2006 15:30:00,74.9,75.5,73.7,74.38,406091
2/16/2006 15:30:00,74.38,76.89,73.63,76,474465
2/17/2006 15:30:00,76.75,76.75,73.65,74.23,479132
2/20/2006 15:30:00,74,74.49,72,72.22,509248
2/21/2006 15:30:00,73,73,72.25,72.48,375557
2/22/2006 15:30:00,72.48,72.97,72.16,72.67,319447
2/23/2006 15:30:00,72.2,72.88,71.2,72.2,1105457
2/24/2006 15:30:00,72.22,72.22,70.6,71.15,963765
2/27/2006 15:30:00,72.01,73.17,71.61,72.82,314785
2/28/2006 15:30:00,73.43,74.4,72.38,73.72,492707
3/1/2006 15:30:00,73.5,75,72.5,74.68,484399
3/2/2006 15:30:00,74.99,76,73.51,75.83,504291
3/3/2006 15:30:00,76,76.22,74.71,75.97,490972
3/6/2006 15:30:00,76,76.4,75.6,76.01,316876
3/7/2006 15:30:00,74.93,76.4,74.93,75.78,551268
3/8/2006 15:30:00,75.5,76.97,74,76.01,810113
3/9/2006 15:30:00,74.53,75.95,73.9,75.02,726598
3/10/2006 15:30:00,75.2,76.44,74.52,74.9,792811
3/13/2006 15:30:00,75.5,77.5,73.1,76.93,549483
3/14/2006 15:30:00,77.6,77.6,75.03,76.2,366599
3/16/2006 15:30:00,75.51,77.2,75.51,76.76,605925
3/17/2006 15:30:00,77.2,77.2,75.33,76.43,240351
3/20/2006 15:30:00,76.5,77.5,75.9,76.56,527988
3/21/2006 15:30:00,77.3,77.3,75.1,75.48,332576
3/22/2006 15:30:00,75.19,76.5,75.01,75.73,430518
3/23/2006 15:30:00,74.92,75.9,73.83,74.2,284251
3/24/2006 15:30:00,74.99,74.99,73.01,73.48,338369
