Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,39.83,40.36,39.3,40.19,12839400
1/4/2006 16:00:00,39.78,40.14,39.42,39.62,11836800
1/5/2006 16:00:00,39.61,39.81,39.5,39.74,8109400
1/6/2006 16:00:00,39.92,40.24,39.55,40.02,7966900
1/9/2006 16:00:00,39.88,40.72,39.88,40.67,16575200
1/10/2006 16:00:00,40.5,40.75,40.07,40.73,16614900
1/11/2006 16:00:00,40.73,40.87,40.61,40.7,12333100
1/12/2006 16:00:00,40.25,40.42,39.9,39.95,12230400
1/13/2006 16:00:00,39.78,40.03,39.65,39.92,10961200
1/17/2006 16:00:00,39.75,39.82,39.41,39.71,9941400
1/18/2006 16:00:00,39.11,39.71,38.95,39.35,17908500
1/19/2006 16:00:00,39.34,39.47,38.8,39.06,12092300
1/20/2006 16:00:00,38.81,38.82,37.88,38.05,20907200
1/23/2006 16:00:00,38.14,38.7,37.97,38.27,13172400
1/24/2006 16:00:00,38.25,38.53,38.09,38.11,9781500
1/25/2006 16:00:00,38.16,38.68,38.06,38.48,14248700
1/26/2006 16:00:00,38.71,39.81,38.71,39.59,16187900
1/27/2006 16:00:00,39.25,40.04,39.17,39.75,12929400
1/30/2006 16:00:00,39.52,39.97,39.42,39.85,8701700
1/31/2006 16:00:00,40.03,40.19,39.74,39.75,15582500
2/1/2006 16:00:00,39.88,40.22,39.67,39.88,11429800
2/2/2006 16:00:00,39.9,40.16,39.59,39.99,10309100
2/3/2006 16:00:00,39.45,40.1,39.4,39.53,10440700
2/6/2006 16:00:00,39.4,39.6,39.31,39.44,6591900
2/7/2006 16:00:00,39.2,39.6,39.05,39.26,8592600
2/8/2006 16:00:00,39.28,39.62,39.25,39.6,10065400
2/9/2006 16:00:00,39.53,40.03,39.44,39.77,8496300
2/10/2006 16:00:00,39.62,39.98,39.29,39.92,8790500
2/13/2006 16:00:00,39.77,40.31,39.61,39.77,7791600
2/14/2006 16:00:00,39.75,40.33,39.65,40.1,12904100
2/15/2006 16:00:00,39.97,40.5,39.97,40.32,12686700
2/16/2006 16:00:00,40.45,40.82,40.24,40.82,11572000
2/17/2006 16:00:00,40.66,40.82,40.4,40.78,11518600
2/21/2006 16:00:00,40.63,40.95,40.55,40.7,7324600
2/22/2006 16:00:00,40.89,41.55,40.74,41.41,13168400
2/23/2006 16:00:00,41.26,41.57,41,41.11,8739500
2/24/2006 16:00:00,40.94,41.83,40.87,41.66,9294300
2/27/2006 16:00:00,41.55,41.95,41.55,41.58,8542000
2/28/2006 16:00:00,41.59,41.6,40.97,41.14,11716200
3/1/2006 16:00:00,41.16,41.94,41.13,41.63,10547700
3/2/2006 16:00:00,41.63,41.84,41.37,41.66,10939800
3/3/2006 16:00:00,41.5,42.09,41.43,41.59,12290600
3/6/2006 16:00:00,41.48,41.81,41.14,41.43,9877500
3/7/2006 16:00:00,41.02,41.66,41.02,41.48,9441300
3/8/2006 16:00:00,41.49,41.74,41.2,41.6,9147100
3/9/2006 16:00:00,41.62,41.74,40.96,41.05,9767500
3/10/2006 16:00:00,41.06,41.4,40.87,41.13,11175700
3/13/2006 16:00:00,41.45,41.48,40.98,41.06,10626100
3/14/2006 16:00:00,41.26,41.5,41.25,41.38,16237100
3/15/2006 16:00:00,41.16,41.34,40.99,41.22,14017900
3/16/2006 16:00:00,41.42,41.53,41.26,41.32,10045600
3/17/2006 16:00:00,41.35,41.5,41.25,41.4,13042400
3/20/2006 16:00:00,41.31,41.55,41.15,41.45,9418000
3/21/2006 16:00:00,41.27,41.71,41.04,41.2,13473600
3/22/2006 16:00:00,41.19,42.2,41,42.05,13516100
3/23/2006 16:00:00,42.05,42.2,41.82,42.04,12986800
3/24/2006 16:00:00,41.99,42.43,41.91,42.1,7213400
3/27/2006 16:00:00,41.86,42.2,41.78,42.11,7836200
3/28/2006 16:00:00,41.93,42.21,41.5,41.56,15562700
3/29/2006 16:00:00,41.73,42.08,41.31,41.68,7822900
3/30/2006 16:00:00,41.54,42.04,41.12,41.53,9324800
3/31/2006 16:00:00,41.78,41.94,41.5,41.64,10371400
4/3/2006 16:00:00,41.95,42.46,41.88,41.93,10872900
4/4/2006 16:00:00,41.6,42.46,41.5,42.27,11817800
4/5/2006 16:00:00,42.17,42.66,42.04,42.54,9554600
4/6/2006 16:00:00,42.39,42.47,42.02,42.29,6226600
4/7/2006 16:00:00,42.25,42.44,41.63,41.7,10754100
4/10/2006 16:00:00,41.93,42.26,41.69,41.88,7409300
4/11/2006 16:00:00,42,42.35,41.48,41.61,8828400
4/12/2006 16:00:00,41.83,41.98,41.7,41.9,5873900
4/13/2006 16:00:00,41.96,42.42,41.91,42.19,6554700
4/17/2006 16:00:00,42.28,42.38,41.83,42,7986200
4/18/2006 16:00:00,42.22,42.75,42.07,42.6,11079700
4/19/2006 16:00:00,42.7,42.99,42.3,42.62,9448100
4/20/2006 16:00:00,42.5,42.95,42.38,42.6,8435900
4/21/2006 16:00:00,42.88,42.88,42.4,42.5,13733100
4/24/2006 16:00:00,42.51,42.78,42.16,42.68,9475900
4/25/2006 16:00:00,42.53,42.82,42.11,42.22,11649000
4/26/2006 16:00:00,42.39,42.74,42.16,42.66,10647800
4/27/2006 16:00:00,42.66,44.06,42.53,43.95,17465000
4/28/2006 16:00:00,44.24,45.9,44.1,45.38,28262300
5/1/2006 16:00:00,45.38,45.59,44.73,44.78,16235400
5/2/2006 16:00:00,45,45.51,44.91,45.5,12964600
5/3/2006 16:00:00,45.59,45.7,45.22,45.46,15589700
5/4/2006 16:00:00,45.51,45.81,45.5,45.69,10550700
5/5/2006 16:00:00,45.91,46.8,45.69,46.65,17342800
5/8/2006 16:00:00,46.6,46.65,46.04,46.1,10284000
5/9/2006 16:00:00,45.94,46.35,45.85,46.02,7931000
5/10/2006 16:00:00,45.74,46.12,45.51,45.92,7215600
5/11/2006 16:00:00,45.92,45.96,44.96,45.15,10533100
5/12/2006 16:00:00,44.95,44.96,44.26,44.32,18205000
5/15/2006 16:00:00,44.33,44.75,44.25,44.54,11232300
5/16/2006 16:00:00,44.6,44.8,44.13,44.32,8265300
5/17/2006 16:00:00,43.8,44.05,43.09,43.25,13005300
5/18/2006 16:00:00,43.29,43.41,42.69,42.74,10905200
5/19/2006 16:00:00,42.9,43.05,42.5,42.75,13343200
5/22/2006 16:00:00,42.75,42.95,42.34,42.64,14817200
5/23/2006 16:00:00,42.74,42.89,42.12,42.17,13258500
5/24/2006 16:00:00,42.1,42.48,41.59,42.15,14155700
5/25/2006 16:00:00,42.59,42.9,42.32,42.85,9902400
5/26/2006 16:00:00,43,43.38,42.95,43.23,7918100
5/30/2006 16:00:00,42.9,42.99,42.44,42.44,8680900
5/31/2006 16:00:00,42.66,42.97,42.17,42.64,11348000
6/1/2006 16:00:00,42.75,43.68,42.74,43.58,9034900
