Date,Open,High,Low,Close,Volume
02/01/2006 15:30:00,72.53,73.83,71.02,73.23,144555
03/01/2006 15:30:00,73.33,73.91,72.75,73.34,173705
04/01/2006 15:30:00,73.36,75.83,73.33,75.37,770912
05/01/2006 15:30:00,75.33,77.33,74.21,76.8,650649
06/01/2006 15:30:00,75.67,77.83,74.33,77.54,469476
09/01/2006 15:30:00,76.67,78.33,75.83,77.75,518521
10/01/2006 15:30:00,77.67,77.67,75.83,76.62,105925
12/01/2006 15:30:00,76.33,76.83,73.92,74.66,212021
13/01/2006 15:30:00,75,75.5,73.87,74.13,141192
16/01/2006 15:30:00,74.13,75.25,73.33,73.75,145573
17/01/2006 15:30:00,74,74,72,72.33,59490
18/01/2006 15:30:00,72,78.52,70.83,73.05,91604
19/01/2006 15:30:00,72.67,73.33,71.33,71.48,176766
20/01/2006 15:30:00,72.5,73.83,71.33,73.23,467964
23/01/2006 15:30:00,73,78.18,71.97,72.41,356593
24/01/2006 15:30:00,73,73,72,72.17,109637
25/01/2006 15:30:00,73,73,70.17,70.65,151706
27/01/2006 15:30:00,71.65,73.25,69.67,71.78,187655
30/01/2006 15:30:00,71.67,71.67,69.38,70.11,73493
31/01/2006 15:30:00,69.5,69.97,68.68,69.04,107805
01/02/2006 15:30:00,69.04,69.33,66.67,69,389378
02/02/2006 15:30:00,69,72.85,68,72.17,324529
03/02/2006 15:30:00,73,74.33,71.17,72.46,659612
06/02/2006 15:30:00,71.67,73.83,71.2,73.44,90692
07/02/2006 15:30:00,73.67,73.83,71.83,73.22,184029
08/02/2006 15:30:00,73.45,73.45,70.83,71.33,440535
10/02/2006 15:30:00,71.17,73.33,70.83,72.31,307408
13/02/2006 15:30:00,71.21,74.32,71.21,73.97,127569
14/02/2006 15:30:00,74.17,75.23,73.35,74.09,342413
15/02/2006 15:30:00,74.32,75.4,73.67,74.97,415923
16/02/2006 15:30:00,75.5,76.67,75.22,75.88,821927
17/02/2006 15:30:00,75.73,76.32,73.71,73.93,128378
20/02/2006 15:30:00,74,75.67,72.08,73.36,316166
21/02/2006 15:30:00,73.3,74.17,72.17,73.37,286492
22/02/2006 15:30:00,72.68,74.8,72.68,74.28,664789
23/02/2006 15:30:00,74.8,75,73.69,74.38,614510
24/02/2006 15:30:00,75,75.17,73.85,74.89,410269
27/02/2006 15:30:00,73.85,75.33,73.85,74.8,447172
28/02/2006 15:30:00,75.33,76.49,69.72,72.58,784494
01/03/2006 15:30:00,70.83,73.47,70.33,73.11,603893
02/03/2006 15:30:00,73.17,73.17,70.67,71.03,234319
03/03/2006 15:30:00,70.97,73.17,69.55,70.85,337415
06/03/2006 15:30:00,70.8,71.83,70.67,70.83,111687
07/03/2006 15:30:00,70.83,71.45,69.5,70.26,239992
08/03/2006 15:30:00,70.83,71.33,69.67,69.96,436167
09/03/2006 15:30:00,70.33,71.17,69.37,69.83,188835
10/03/2006 15:30:00,70.23,70.33,68.92,69.16,152559
13/03/2006 15:30:00,70.29,70.29,68.67,69.25,315313
14/03/2006 15:30:00,69.5,69.5,68.1,68.61,312035
16/03/2006 15:30:00,69.17,70.42,68.5,69.13,309253
17/03/2006 15:30:00,68.63,69.33,68.33,68.63,178432
20/03/2006 15:30:00,69.33,69.95,68.71,69.73,100377
21/03/2006 15:30:00,69.95,70.48,69.42,69.72,68928
22/03/2006 15:30:00,69.75,71.38,69.18,71.18,118407
23/03/2006 15:30:00,71.38,73.67,71.38,73.14,390468
24/03/2006 15:30:00,72.5,73.58,72,72.53,117911
27/03/2006 15:30:00,73.16,73.16,71.17,71.35,125478
28/03/2006 15:30:00,71.83,72.08,69.5,69.95,339468
29/03/2006 15:30:00,70,70.23,64.35,69.52,195825
30/03/2006 15:30:00,69.83,70.67,68.84,69.83,225226
31/03/2006 15:30:00,69.84,71.32,69.03,70.88,168476
03/04/2006 15:30:00,71.17,73.17,70.86,72.92,73121
04/04/2006 15:30:00,72.67,77.42,72.67,76.39,463072
05/04/2006 15:30:00,76.5,77.33,75.71,76.66,353981
07/04/2006 15:30:00,75.5,79,75.17,75.95,238019
10/04/2006 15:30:00,78.33,78.33,73.71,75.82,91693
12/04/2006 15:30:00,73.71,78.17,72.68,76.57,295593
13/04/2006 15:30:00,76.65,76.67,74,75.03,91785
17/04/2006 15:30:00,74.67,76.65,73.72,76.19,71619
18/04/2006 15:30:00,75.83,76,74.22,74.79,53315
19/04/2006 15:30:00,75,75.5,71.38,71.93,404922
20/04/2006 15:30:00,71.38,72.5,71.33,71.6,212322
21/04/2006 15:30:00,72.5,73.28,70.83,71.18,451653
24/04/2006 15:30:00,72.48,72.77,70.68,72.37,174282
25/04/2006 15:30:00,72.5,78.55,70.84,71.3,200167
