Date,Open,High,Low,Close,Volume
02/01/2006 15:30:00,33.25,33.69,32.94,33.12,648669
03/01/2006 15:30:00,33.25,33.56,33.08,33.25,2352222
04/01/2006 15:30:00,33.5,33.95,33.32,33.74,2990856
05/01/2006 15:30:00,33.75,35.24,33.75,35.06,1752617
06/01/2006 15:30:00,35,35.49,34.39,35.31,1857561
09/01/2006 15:30:00,35.38,35.63,35,35.16,731620
10/01/2006 15:30:00,35.24,35.55,34.64,35.36,1033199
12/01/2006 15:30:00,35.13,35.59,34.64,35.34,754587
13/01/2006 15:30:00,35.39,36.06,35.19,35.72,1409393
16/01/2006 15:30:00,35,35,34.38,34.53,689222
17/01/2006 15:30:00,34.25,34.74,33.5,33.9,786943
18/01/2006 15:30:00,33.86,34.6,33.27,34.5,809332
19/01/2006 15:30:00,34.63,35,33.75,34.88,519203
20/01/2006 15:30:00,35,35.31,34.64,35.12,615161
23/01/2006 15:30:00,35.31,35.31,33.88,34.23,365267
24/01/2006 15:30:00,34.55,34.74,33.94,34.21,648375
25/01/2006 15:30:00,34.21,34.61,33.5,34.11,616951
27/01/2006 15:30:00,34.84,34.84,34.25,34.58,803261
30/01/2006 15:30:00,34.7,35.91,34.52,35.75,1116317
31/01/2006 15:30:00,35.63,36.69,35.63,36.56,1173481
01/02/2006 15:30:00,36.63,36.74,35.38,35.7,1030028
02/02/2006 15:30:00,35.63,36.36,35.25,35.39,594860
03/02/2006 15:30:00,35,36.86,35,36.47,1921654
06/02/2006 15:30:00,36.38,36.61,36.04,36.38,298495
07/02/2006 15:30:00,36.5,37.06,35.66,36.04,1280083
08/02/2006 15:30:00,36.13,36.16,35.16,35.26,684608
10/02/2006 15:30:00,35,35.79,35,35.31,647888
13/02/2006 15:30:00,35.25,35.74,34.88,35.26,831189
14/02/2006 15:30:00,35.39,35.94,35.14,35.64,1060448
15/02/2006 15:30:00,37.38,37.38,35.64,35.83,1341909
