Date,Open,High,Low,Close,Volume
02/01/2006 15:30:00,73.11,73.64,72,72.51,174833
03/01/2006 15:30:00,72.22,74.67,72.22,74.39,500521
04/01/2006 15:30:00,74.22,76.88,73.33,76.58,1097161
05/01/2006 15:30:00,76.88,76.89,75.22,75.53,399294
06/01/2006 15:30:00,75.56,76.67,74.72,76.11,298540
09/01/2006 15:30:00,76.22,76.44,74.72,75.99,248921
10/01/2006 15:30:00,75.78,77.54,73.98,75,614248
12/01/2006 15:30:00,75.33,75.33,72.23,73.61,187131
13/01/2006 15:30:00,73.56,74.19,72.89,73.22,287099
16/01/2006 15:30:00,73.22,74.91,72.29,72.53,118992
17/01/2006 15:30:00,72.44,73.56,71.22,71.42,120828
18/01/2006 15:30:00,71.11,71.56,69.67,70.3,152619
19/01/2006 15:30:00,70.22,71.33,70.2,70.72,159691
20/01/2006 15:30:00,70.89,71.11,70.22,70.44,197991
23/01/2006 15:30:00,70.44,70.44,68.78,69.01,257174
24/01/2006 15:30:00,69.11,69.86,69.11,69.86,90549
25/01/2006 15:30:00,69.98,70.42,67.42,67.9,442235
27/01/2006 15:30:00,68,69.67,67.98,68.69,201303
30/01/2006 15:30:00,69.4,69.67,67.09,68.84,288707
31/01/2006 15:30:00,69.11,69.11,67.47,68.68,151150
01/02/2006 15:30:00,68.51,68.67,67.46,67.67,297946
02/02/2006 15:30:00,67.57,69.24,67.57,68.42,186057
03/02/2006 15:30:00,68.44,70.89,68.44,69.77,456857
06/02/2006 15:30:00,69.56,70,68.89,69.1,199189
07/02/2006 15:30:00,69.11,70.22,68.13,68.32,156329
08/02/2006 15:30:00,68.47,69.76,68.23,68.66,270242
10/02/2006 15:30:00,68.67,69.32,68.44,68.78,210565
13/02/2006 15:30:00,69.11,72.02,68.91,71.3,574044
14/02/2006 15:30:00,71.78,73.09,71.13,71.39,387412
15/02/2006 15:30:00,72.04,74.31,71.57,72.08,340198
16/02/2006 15:30:00,72.22,74.87,72.22,73.18,640547
17/02/2006 15:30:00,73.33,73.89,71.33,71.59,427857
20/02/2006 15:30:00,70.22,72.31,70,72.07,390444
21/02/2006 15:30:00,71.98,72.42,70.71,72.03,191776
22/02/2006 15:30:00,72.33,73.64,71.8,73.06,296327
23/02/2006 15:30:00,73.11,74.44,72.9,73.48,416214
24/02/2006 15:30:00,73.56,74.77,73.28,73.59,392262
27/02/2006 15:30:00,73.78,75,73.78,74.79,339305
28/02/2006 15:30:00,75,76.62,70.22,71.93,1140564
01/03/2006 15:30:00,70.22,72.22,64.94,71.84,577728
02/03/2006 15:30:00,71.78,72.67,71.11,71.28,326555
03/03/2006 15:30:00,71.11,74,70.02,72.37,470432
06/03/2006 15:30:00,72.18,73.44,72.18,73.19,240083
07/03/2006 15:30:00,72.89,74.18,72.22,72.53,137803
08/03/2006 15:30:00,72.22,73.31,71.11,71.57,229958
09/03/2006 15:30:00,71.36,72.82,70.89,71.67,98650
10/03/2006 15:30:00,71.33,73.29,70.89,71.61,201595
13/03/2006 15:30:00,71.61,72.64,71.41,71.58,138282
14/03/2006 15:30:00,71.56,72.27,70.89,71.03,230686
16/03/2006 15:30:00,70.89,71.67,70.68,71.33,142135
17/03/2006 15:30:00,71.11,71.39,70.28,71.1,179032
20/03/2006 15:30:00,71.11,72,70.44,70.83,123119
21/03/2006 15:30:00,70.91,71.76,69.84,70.41,219246
22/03/2006 15:30:00,70.36,72.66,70.14,72.28,360624
23/03/2006 15:30:00,72.66,73.31,71.82,72.73,253162
24/03/2006 15:30:00,72.44,74.11,71,73.4,410903
27/03/2006 15:30:00,73.33,73.78,72,72.17,132246
28/03/2006 15:30:00,72,72.67,71.17,71.72,88785
29/03/2006 15:30:00,71.33,71.77,70.22,70.83,290313
30/03/2006 15:30:00,70.67,71.62,70.01,70.84,127647
31/03/2006 15:30:00,70.67,72,70.44,71.08,82697
03/04/2006 15:30:00,71.08,73.22,71.08,72.4,117245
04/04/2006 15:30:00,72.44,79.98,72.11,78,2150898
05/04/2006 15:30:00,78,78.72,75.89,76.64,484694
07/04/2006 15:30:00,77.71,77.71,72.22,72.48,358798
10/04/2006 15:30:00,72.44,73.56,71.47,71.98,215868
12/04/2006 15:30:00,72.22,73.07,71,71.47,172629
13/04/2006 15:30:00,71.11,72.33,70.51,70.82,121704
17/04/2006 15:30:00,70.44,74,70.44,73.49,230551
18/04/2006 15:30:00,73.33,73.33,71.22,71.47,174787
19/04/2006 15:30:00,71.22,72.87,70.89,71.4,214066
20/04/2006 15:30:00,71.11,72.11,70.46,70.7,120982
21/04/2006 15:30:00,71.11,73.33,71.11,71.49,177935
24/04/2006 15:30:00,71.78,73.07,69.56,70,318277
25/04/2006 15:30:00,71.58,71.58,70.02,70.68,269393
26/04/2006 15:30:00,70.02,72.11,69.34,71.7,206773
27/04/2006 15:30:00,72.11,75.27,70.22,70.49,578518
28/04/2006 15:30:00,70.44,72.18,68.89,71.62,258150
02/05/2006 15:30:00,71.33,73.52,70.89,72.86,317588
03/05/2006 15:30:00,73.33,75.33,73.33,73.78,603125
04/05/2006 15:30:00,73.78,76.89,73.78,76.48,740598
05/05/2006 15:30:00,76,79.87,76,78.71,907467
08/05/2006 15:30:00,79.11,79.93,77.09,77.67,281585
09/05/2006 15:30:00,78.22,79.32,76.67,78.98,550643
10/05/2006 15:30:00,78.89,80,77,79.43,476758
11/05/2006 15:30:00,79.33,79.33,77.33,78.03,275985
12/05/2006 15:30:00,77.33,77.56,75.33,77.06,194919
15/05/2006 15:30:00,76.89,76.89,72.44,73.38,119922
16/05/2006 15:30:00,73.33,73.54,70.89,71.93,94338
17/05/2006 15:30:00,72,74.44,72,72.46,86156
18/05/2006 15:30:00,72.44,74.43,70.44,71.13,83988
19/05/2006 15:30:00,71.11,72.67,68.89,69.62,97003
22/05/2006 15:30:00,70,73.33,64.44,67.03,245182
23/05/2006 15:30:00,66.89,72.33,64.5,71.12,157266
24/05/2006 15:30:00,71.33,73.31,66.91,69.24,306704
25/05/2006 15:30:00,69.33,70,66.67,68.97,354380
26/05/2006 15:30:00,70.22,74.44,70.22,71.74,188347
29/05/2006 15:30:00,72.67,74,69.67,69.97,130660
30/05/2006 15:30:00,70,70.89,68.67,69.24,172595
31/05/2006 15:30:00,69.11,69.33,66.74,68.17,200408
01/06/2006 15:30:00,68.22,70.36,63.33,65.36,400948
02/06/2006 15:30:00,64.67,67.32,64,66.79,160240
05/06/2006 15:30:00,66.89,67.51,63.33,64.14,272699
06/06/2006 15:30:00,65.56,66.67,60.69,62.29,547003
07/06/2006 15:30:00,61.78,62.19,56.57,58.92,283916
08/06/2006 15:30:00,58.22,59.78,50.67,51.72,406665
09/06/2006 15:30:00,51.33,53.11,50.6,51.74,343506
12/06/2006 15:30:00,51.78,52.44,48.89,49.54,212853
13/06/2006 15:30:00,49.56,49.56,46.9,47.46,229168
14/06/2006 15:30:00,47.78,52.8,47.78,51.71,850687
15/06/2006 15:30:00,52.22,56,51.83,55.32,637250
16/06/2006 15:30:00,55.13,57.76,54.7,56.1,390547
19/06/2006 15:30:00,61.21,61.21,54.44,57.11,246239
20/06/2006 15:30:00,57.11,58.89,54.67,56.21,144897
21/06/2006 15:30:00,55.33,57.78,54.67,56.86,151571
22/06/2006 15:30:00,56.89,61.07,56.44,57.43,351890
23/06/2006 15:30:00,57.33,58.22,55.56,56.87,200821
26/06/2006 15:30:00,57.78,57.78,54.51,55.4,94117
27/06/2006 15:30:00,55.11,57.76,52.73,56.68,167111
28/06/2006 15:30:00,56.68,56.68,54,54.47,150008
29/06/2006 15:30:00,55.56,56.22,50.62,51.28,961182
30/06/2006 15:30:00,52.22,53.31,51.58,52.32,375786
03/07/2006 15:30:00,53.31,53.67,51.82,52.27,224958
04/07/2006 15:30:00,52.24,53.11,51.58,51.97,98978
05/07/2006 15:30:00,51.58,52.76,51.11,52.46,105913
06/07/2006 15:30:00,51.59,52.74,51.59,52.12,117259
07/07/2006 15:30:00,51.78,52.67,49.33,49.76,148491
10/07/2006 15:30:00,50,51.34,48.46,50.51,150405
11/07/2006 15:30:00,50.44,51.33,50,51.11,452111
12/07/2006 15:30:00,51.11,51.11,47.48,50,234366
13/07/2006 15:30:00,50,51.07,48.91,49.09,133461
14/07/2006 15:30:00,49.11,49.11,46.67,47.72,254104
17/07/2006 15:30:00,47.33,47.56,46.71,46.91,135574
18/07/2006 15:30:00,47.56,47.56,46.53,46.87,99583
19/07/2006 15:30:00,46.89,47.56,45.79,46.03,153179
20/07/2006 15:30:00,46.67,48.89,46.67,48.72,277679
21/07/2006 15:30:00,48.89,48.89,47.46,47.86,69907
24/07/2006 15:30:00,48.44,48.89,44.04,47.54,207493
25/07/2006 15:30:00,47.78,48.87,47.58,47.8,159234
26/07/2006 15:30:00,47.78,49.56,47.58,49.1,238309
27/07/2006 15:30:00,48.89,51.11,47.81,49.3,544260
28/07/2006 15:30:00,49.33,49.67,48.01,48.39,114618
31/07/2006 15:30:00,48.89,50.89,48.67,49.99,195400
01/08/2006 15:30:00,50,50.33,49.11,49.97,102335
02/08/2006 15:30:00,50,51.99,48.02,49.84,55551
03/08/2006 15:30:00,49.33,50.44,48.47,49.81,136281
04/08/2006 15:30:00,49.11,50.21,48.47,48.69,157780
07/08/2006 15:30:00,49.33,49.67,47.22,47.49,371200
08/08/2006 15:30:00,47.56,49.09,47.01,47.94,440030
09/08/2006 15:30:00,48,49.78,47.89,49.31,185379
10/08/2006 15:30:00,49.33,49.88,48.44,49.47,114496
11/08/2006 15:30:00,49.47,50.33,49.13,49.39,164941
14/08/2006 15:30:00,48.89,53.2,48.89,52.44,686567
16/08/2006 15:30:00,53.33,59.56,52.89,57.96,2738237
17/08/2006 15:30:00,58.84,60.88,55.58,56.53,1087988
18/08/2006 15:30:00,56.44,65.04,55.86,60.83,3168856
21/08/2006 15:30:00,61.53,64.44,58.89,63.87,2673396
22/08/2006 15:30:00,63.78,64,58.44,58.89,2043635
23/08/2006 15:30:00,59.11,61.16,56.76,57.42,2812713
24/08/2006 15:30:00,57.33,59,56.28,57.43,1611247
25/08/2006 15:30:00,57.78,58.44,56.47,57.14,974717
28/08/2006 15:30:00,57.33,60.22,57.33,59.79,1534085
29/08/2006 15:30:00,61.33,62,59.58,60.17,2762914
30/08/2006 15:30:00,60.89,63.33,60.5,62.87,5033000
31/08/2006 15:30:00,63.33,63.89,61.33,61.7,1124516
01/09/2006 15:30:00,60.56,62.79,60.56,62.23,710207
04/09/2006 15:30:00,66.4,66.4,62.56,65.2,1977500
05/09/2006 15:30:00,65.56,67.1,64.06,64.64,1177474
06/09/2006 15:30:00,64.94,68.42,64.22,68.03,2649980
07/09/2006 15:30:00,68.22,69.07,65.78,66.33,1366700
08/09/2006 15:30:00,66.67,68.2,66.67,67.9,1108209
11/09/2006 15:30:00,68,70,66.89,67.81,1682685
12/09/2006 15:30:00,68,69.33,64.94,65.41,1461965
13/09/2006 15:30:00,66.38,68.2,65.33,65.63,2594573
14/09/2006 15:30:00,66.33,66.67,64.89,65.18,1235431
15/09/2006 15:30:00,65.56,67,63.94,64.61,2040829
18/09/2006 15:30:00,64.67,65.73,64.44,65.38,1193754
19/09/2006 15:30:00,65.56,65.78,62.87,64.21,1054871
20/09/2006 15:30:00,64,65.11,63.56,64.63,872037
21/09/2006 15:30:00,64.89,66.73,64.89,65.39,2622650
22/09/2006 15:30:00,66,66,63.8,64.37,832608
25/09/2006 15:30:00,64.44,66.22,64.34,65.57,1663252
26/09/2006 15:30:00,65.78,65.99,65.12,65.6,1252665
27/09/2006 15:30:00,65.78,66.4,64.94,65.43,1200672
28/09/2006 15:30:00,65.33,65.93,62.74,63.19,1562372
29/09/2006 15:30:00,63.56,64.4,61.8,62.16,980351
03/10/2006 15:30:00,62.69,63.44,62.16,62.29,1371851
04/10/2006 15:30:00,62.89,64.79,62.89,63.17,1993560
05/10/2006 15:30:00,63.78,65.17,63.58,64.71,3308619
06/10/2006 15:30:00,64.67,68.64,64.67,67.67,3833069
09/10/2006 15:30:00,68.22,68.22,66,66.78,1452918
10/10/2006 15:30:00,67.78,67.78,66.02,66.98,823506
11/10/2006 15:30:00,67.78,68.64,67.54,68.17,1350388
12/10/2006 15:30:00,68.67,73.33,68.67,72.58,3060351
13/10/2006 15:30:00,75.01,75.01,69.6,70.66,2161093
16/10/2006 15:30:00,71.11,71.13,68.49,69.38,1180638
17/10/2006 15:30:00,69.56,69.71,66.93,67.4,1170007
18/10/2006 15:30:00,67.78,68.83,67.14,67.48,845062
19/10/2006 15:30:00,67.78,69.56,67.78,68.36,843965
20/10/2006 15:30:00,68.44,68.44,66.22,66.49,659537
23/10/2006 15:30:00,68.89,70.71,68.72,70.34,1198498
26/10/2006 15:30:00,70.22,70.22,67.14,67.63,1177074
27/10/2006 15:30:00,67.68,69.11,67.68,68.34,329539
30/10/2006 15:30:00,68.74,72.22,68.74,71.32,1215536
31/10/2006 15:30:00,71.67,74.2,71.67,72.2,1583181
01/11/2006 15:30:00,72.22,73.49,72.07,73.04,975998
02/11/2006 15:30:00,73.33,74.99,73,73.82,1053778
03/11/2006 15:30:00,73.78,74.71,73.61,74.24,528630
06/11/2006 15:30:00,74,74.01,70.86,71.26,875144
07/11/2006 15:30:00,71.74,71.99,68.46,68.88,1217350
08/11/2006 15:30:00,69.11,70.67,67.37,68.69,2086029
09/11/2006 15:30:00,70.11,70.88,67.37,68,621679
10/11/2006 15:30:00,66.89,68,64.72,66.54,1603610
13/11/2006 15:30:00,66.67,68,66.29,66.61,565431
14/11/2006 15:30:00,67.33,68.73,66.46,68.27,1397836
15/11/2006 15:30:00,68.44,68.89,66.89,67.94,643903
16/11/2006 15:30:00,67.78,68.21,66.67,66.83,368842
17/11/2006 15:30:00,67.5,71.67,67.5,70.91,3284664
20/11/2006 15:30:00,72,72.21,69.22,70.18,1567682
21/11/2006 15:30:00,69.78,73,67.9,72.52,1297049
22/11/2006 15:30:00,72.22,72.22,69.83,70.3,944553
23/11/2006 15:30:00,70.67,72.11,70.02,70.52,662959
24/11/2006 15:30:00,70.38,71.58,70.18,70.38,681376
27/11/2006 15:30:00,70.29,70.84,68.6,68.9,388484
28/11/2006 15:30:00,68.41,68.41,66.44,67.18,787231
29/11/2006 15:30:00,67.11,67.11,64.67,64.89,1198574
30/11/2006 15:30:00,64.44,64.47,61.8,62.62,1344682
01/12/2006 15:30:00,62.67,64.66,61.57,64.01,1051436
04/12/2006 15:30:00,63.56,66.39,62.68,65.07,1546070
05/12/2006 15:30:00,63.33,65.96,63.33,64.58,669954
06/12/2006 15:30:00,65,65.58,62.89,63.14,491410
07/12/2006 15:30:00,63.33,63.92,61.6,61.8,767025
08/12/2006 15:30:00,61.92,62.42,60.57,60.88,494445
11/12/2006 15:30:00,62.22,63.33,58.22,58.72,456960
