Date,Open,High,Low,Close,Volume
02/01/2006 15:30:00,46.25,46.63,46.17,46.26,66430
03/01/2006 15:30:00,46.5,47.47,46.44,46.77,153830
04/01/2006 15:30:00,46.75,47.25,46.26,46.99,154226
05/01/2006 15:30:00,47.08,47.08,46.09,46.73,191196
06/01/2006 15:30:00,46.68,47.5,46.42,46.81,337107
09/01/2006 15:30:00,47.08,47.25,46.5,47.08,181121
10/01/2006 15:30:00,47.42,47.5,45.93,46.05,81328
12/01/2006 15:30:00,45.93,46.67,45.56,46.19,79018
13/01/2006 15:30:00,46.17,46.73,45.97,46.08,63833
16/01/2006 15:30:00,46.17,46.36,45.17,46.24,141278
17/01/2006 15:30:00,46.17,46.45,45.8,46.25,266177
18/01/2006 15:30:00,46.08,46.17,45,46.02,167827
19/01/2006 15:30:00,46.17,46.38,46,46.03,22648
20/01/2006 15:30:00,46,46,45.42,45.54,92987
23/01/2006 15:30:00,45.58,45.58,44.17,44.25,165969
24/01/2006 15:30:00,44.98,44.98,43.75,44.13,31000
25/01/2006 15:30:00,44.67,44.99,43.88,44.3,183143
27/01/2006 15:30:00,44.08,44.65,43.56,44.08,89900
30/01/2006 15:30:00,43.75,44.17,42.1,42.91,327161
31/01/2006 15:30:00,42.94,43.24,42.09,42.56,209916
01/02/2006 15:30:00,42.68,42.83,42.17,42.37,99508
02/02/2006 15:30:00,42.5,43.32,42.38,43.03,99480
03/02/2006 15:30:00,43.56,44.58,42.99,43.77,264209
06/02/2006 15:30:00,43.83,43.99,42.64,42.86,248015
07/02/2006 15:30:00,43.92,43.92,42.75,42.88,450579
08/02/2006 15:30:00,43,44.83,42.83,43.78,832599
10/02/2006 15:30:00,43.69,44.34,43.08,43.45,244197
13/02/2006 15:30:00,43.33,44.08,43.25,43.5,566566
14/02/2006 15:30:00,44.08,44.67,43.67,44.05,325401
15/02/2006 15:30:00,44.42,45.33,44.2,44.37,376935
