Date,Open,High,Low,Close,Volume
03/01/2006 16:00:00,39.57,41.25,39.28,41.23,5132600
04/01/2006 16:00:00,40.86,41.02,40.5,40.74,3368400
05/01/2006 16:00:00,40.53,40.64,39.77,40.29,2759200
06/01/2006 16:00:00,40.89,42.56,40.86,42.12,4490700
09/01/2006 16:00:00,42.6,42.9,42.21,42.87,4022700
10/01/2006 16:00:00,42.69,44.08,42.65,43.6,3912200
11/01/2006 16:00:00,43.45,43.74,42.56,43.39,4153600
12/01/2006 16:00:00,43.49,43.77,42.01,42.12,3844800
13/01/2006 16:00:00,42.12,43.21,41.73,43.09,2846200
17/01/2006 16:00:00,43.93,44.34,43.5,44.22,2777800
18/01/2006 16:00:00,44.22,44.22,42.79,43.7,2667400
19/01/2006 16:00:00,43.16,43.93,42.88,43.79,3005500
20/01/2006 16:00:00,44.12,44.7,43.31,43.65,4188600
23/01/2006 16:00:00,43.65,44.25,43.26,43.79,3204300
24/01/2006 16:00:00,43.78,44.1,43.17,43.45,3187400
25/01/2006 16:00:00,43.74,43.84,42.1,42.85,3812900
26/01/2006 16:00:00,43.17,43.26,42.11,42.99,4272200
27/01/2006 16:00:00,43.21,44.25,43.21,43.75,2381700
30/01/2006 16:00:00,44.13,45.53,44.1,45.31,7547100
31/01/2006 16:00:00,45.31,47,45.23,46.86,4932500
01/02/2006 16:00:00,46.85,46.86,44.88,45.07,4395000
02/02/2006 16:00:00,44.46,44.91,43.56,44.17,4035500
03/02/2006 16:00:00,44.03,44.44,43.41,43.86,2949900
06/02/2006 16:00:00,44.39,45.54,44.33,45.08,3087100
07/02/2006 16:00:00,44.6,44.61,42.73,43.21,3414100
08/02/2006 16:00:00,43.02,43.23,41.97,42.95,3774600
09/02/2006 16:00:00,43.07,43.77,41.89,42.1,3816600
10/02/2006 16:00:00,42.45,43,41.34,41.73,3897900
13/02/2006 16:00:00,42.45,42.63,41.45,41.97,3533500
14/02/2006 16:00:00,41.3,42.48,41.27,41.87,3398200
15/02/2006 16:00:00,42,42.25,40.95,41.27,5032200
16/02/2006 16:00:00,41.48,42.6,41.48,42.53,4683400
17/02/2006 16:00:00,43.17,43.34,42.77,43.19,3688000
21/02/2006 16:00:00,44.13,44.63,43.73,44.05,3066000
22/02/2006 16:00:00,43.83,43.89,43.13,43.35,3150200
23/02/2006 16:00:00,42.93,44,42.61,43.17,3527300
24/02/2006 16:00:00,44.16,44.88,43.94,44.31,3823100
27/02/2006 16:00:00,44.31,44.31,43.55,43.55,3208600
28/02/2006 16:00:00,43.56,44.25,43.27,43.9,3932600
01/03/2006 16:00:00,44.04,44.58,43.84,44.43,3094200
02/03/2006 16:00:00,44.51,45.35,44.37,45.22,3197400
03/03/2006 16:00:00,45.47,46.02,44.84,45.56,2843800
06/03/2006 16:00:00,45.04,45.28,43.84,43.93,3664800
07/03/2006 16:00:00,43.54,44.13,43.31,43.66,3725700
08/03/2006 16:00:00,43.17,44.08,42.22,43.25,3990100
09/03/2006 16:00:00,43.26,43.91,42.8,43.16,2440000
10/03/2006 16:00:00,43.48,43.5,42.81,43.22,3265700
13/03/2006 16:00:00,43.65,44.42,43.58,44.25,2169300
14/03/2006 16:00:00,44.25,45.19,43.81,44.95,3415600
15/03/2006 16:00:00,44.95,45.58,44.86,45.35,3265400
16/03/2006 16:00:00,45.35,45.75,44.95,45.61,3168800
17/03/2006 16:00:00,46.07,46.08,45.35,45.6,2871100
20/03/2006 16:00:00,45.42,45.7,44.15,44.33,3005800
21/03/2006 16:00:00,44.33,44.98,43.9,44.13,2685200
