Date,Open,High,Low,Close,Volume
03/01/2006 16:00:00,51.6,53.03,51.5,52.89,823600
04/01/2006 16:00:00,52.75,53.96,52.24,53.81,1077400
05/01/2006 16:00:00,53.65,53.65,52.15,52.57,1010700
06/01/2006 16:00:00,53.3,54.33,53,53.28,1195400
09/01/2006 16:00:00,53.03,53.99,52.9,53.2,1052000
10/01/2006 16:00:00,52.92,53.96,52.92,53.25,917800
11/01/2006 16:00:00,53.25,53.25,51.88,52.2,1712200
12/01/2006 16:00:00,52.6,52.82,51.24,51.31,1605700
13/01/2006 16:00:00,51.31,51.85,51.06,51.61,1222300
17/01/2006 16:00:00,52.6,53,52.3,52.96,1573900
18/01/2006 16:00:00,52.71,52.97,51.07,52.41,866200
19/01/2006 16:00:00,51.57,52.71,51.3,52.47,1196600
20/01/2006 16:00:00,52.72,53.16,51.94,52.05,1522100
23/01/2006 16:00:00,52.05,52.71,51.38,52.27,1526400
24/01/2006 16:00:00,52.25,53.59,51.9,52.6,1806900
25/01/2006 16:00:00,52.85,52.95,49.97,50.54,1832300
26/01/2006 16:00:00,50.54,50.72,48.55,50.06,1828400
27/01/2006 16:00:00,50.55,51,50.19,50.51,968900
30/01/2006 16:00:00,51,52.49,50.96,51.96,832000
31/01/2006 16:00:00,51.71,53.32,51.51,53.1,1433900
01/02/2006 16:00:00,53.11,54.46,52.32,52.5,1785700
02/02/2006 16:00:00,52.51,52.89,51.01,51.92,1218100
03/02/2006 16:00:00,51.78,52.85,51.67,51.96,1421800
06/02/2006 16:00:00,52.7,53.55,52.48,52.79,1021000
07/02/2006 16:00:00,52.57,52.58,50,50.2,1180800
08/02/2006 16:00:00,50.75,51.16,48.67,48.9,2074600
09/02/2006 16:00:00,48.9,48.91,45.1,45.19,4732900
10/02/2006 16:00:00,44.75,45.24,43.33,44.85,3657500
13/02/2006 16:00:00,43.85,44.8,43.45,43.59,2322200
14/02/2006 16:00:00,43.45,44.28,42.69,43.51,2270800
15/02/2006 16:00:00,44.6,44.65,42.2,42.6,2564400
16/02/2006 16:00:00,43.01,44.49,43.01,44.45,1322300
17/02/2006 16:00:00,44.95,45.24,44.07,44.4,1254100
21/02/2006 16:00:00,45.17,45.86,44.54,44.55,1420600
22/02/2006 16:00:00,43.5,43.8,42.8,42.8,2019500
23/02/2006 16:00:00,42.81,43.68,41.7,43.48,4200700
24/02/2006 16:00:00,43.5,44.45,42.83,43.08,1785200
27/02/2006 16:00:00,42.85,42.86,41.8,41.89,1417600
28/02/2006 16:00:00,41.89,42.91,41.59,42.09,2520200
01/03/2006 16:00:00,42.45,42.83,41.77,42.3,1280200
02/03/2006 16:00:00,42.55,43.85,42.08,43.85,1853200
03/03/2006 16:00:00,43.83,44.59,43.47,44.02,1520300
06/03/2006 16:00:00,43.77,43.8,41.42,41.47,2033000
07/03/2006 16:00:00,41.36,41.65,40.78,41.16,2385300
08/03/2006 16:00:00,40.65,41.58,40.35,41.41,1341900
09/03/2006 16:00:00,41.8,41.85,39.66,39.98,2701400
10/03/2006 16:00:00,39.65,40.14,39.01,39.23,2862600
13/03/2006 16:00:00,40,40.38,39.43,39.88,1457600
14/03/2006 16:00:00,39.86,40.95,39.66,40.61,1475200
15/03/2006 16:00:00,39.67,40.26,38.68,39.41,2958300
16/03/2006 16:00:00,39.39,40.55,38.95,40.1,1476400
