Date,Open,High,Low,Close,Volume
03/01/2006 16:00:00,48,49.8,47.95,49.65,13225900
04/01/2006 16:00:00,48.95,50.35,48.91,50.15,9251000
05/01/2006 16:00:00,50.05,50.37,48.86,50.02,9316600
06/01/2006 16:00:00,51.1,51.55,50.59,51.05,10398700
09/01/2006 16:00:00,51.59,51.69,50.78,51.37,7662000
10/01/2006 16:00:00,51.49,53.25,51.33,51.85,11261500
11/01/2006 16:00:00,51.96,52.64,50.29,52.01,11611200
12/01/2006 16:00:00,52.74,53.91,52.09,52.43,10841600
13/01/2006 16:00:00,52.11,53.39,52.11,53.19,6224300
17/01/2006 16:00:00,54.99,55.17,54.1,54.95,10605700
18/01/2006 16:00:00,55.07,55.26,52.59,54.49,11042300
19/01/2006 16:00:00,54.34,55.35,53.75,55,11707200
20/01/2006 16:00:00,55.47,56.48,54.83,55.09,11571300
23/01/2006 16:00:00,54.82,55.97,54.16,55.87,8240500
24/01/2006 16:00:00,55.37,56,54.64,55.07,7878600
25/01/2006 16:00:00,55.8,55.85,52.63,53.31,12183900
26/01/2006 16:00:00,53.7,54.11,51.74,54.05,11624700
27/01/2006 16:00:00,54.78,55.38,54.08,54.85,7745200
30/01/2006 16:00:00,55.71,57.77,55.39,57.72,11369300
31/01/2006 16:00:00,56.72,58.18,55.53,57.02,13851100
01/02/2006 16:00:00,57.04,57.35,53.89,54.47,12189500
02/02/2006 16:00:00,54.49,54.8,52.56,53.14,12156100
03/02/2006 16:00:00,53.61,54.25,52.52,53.55,9758000
06/02/2006 16:00:00,54.57,55.21,53.66,54.34,7276300
07/02/2006 16:00:00,53.66,53.66,51.48,51.7,10419400
08/02/2006 16:00:00,52.06,52.22,49.87,51.06,13588200
09/02/2006 16:00:00,52.14,52.14,48.22,48.39,15351800
10/02/2006 16:00:00,48.43,48.43,45.35,46.26,32621700
13/02/2006 16:00:00,46.48,47.39,46.06,46.21,14320800
14/02/2006 16:00:00,43.84,45.85,43.83,45.44,16381300
15/02/2006 16:00:00,46.26,47.05,45.91,46.19,17195600
16/02/2006 16:00:00,47.2,49.18,46.95,49.16,16589400
17/02/2006 16:00:00,49.79,50.23,49.25,49.77,12041600
21/02/2006 16:00:00,51.14,51.92,50.46,50.71,12165700
22/02/2006 16:00:00,50.23,50.45,49.49,49.82,8407900
23/02/2006 16:00:00,49.59,50.9,48.63,50.1,9119800
24/02/2006 16:00:00,51.38,51.82,50.93,51.32,9352100
27/02/2006 16:00:00,50.87,50.91,50.25,50.64,5975700
28/02/2006 16:00:00,49.87,50,48.86,49.13,10046600
01/03/2006 16:00:00,49.45,50.51,49.41,50.18,7375700
02/03/2006 16:00:00,50.43,52.01,50.23,51.81,9829800
03/03/2006 16:00:00,51.33,52.23,51.15,51.62,7322400
06/03/2006 16:00:00,51.27,51.33,49.97,50.03,6773700
07/03/2006 16:00:00,50.05,50.32,48.12,48.99,9542100
08/03/2006 16:00:00,47.95,49.87,47.91,49.13,11649900
09/03/2006 16:00:00,49.53,49.82,48.53,48.64,7683400
10/03/2006 16:00:00,48.59,49.41,47.99,48.9,7654700
13/03/2006 16:00:00,49.14,50.95,49.14,50.83,9922700
14/03/2006 16:00:00,50.81,52.13,50.37,51.77,11673400
15/03/2006 16:00:00,51.34,52.79,51.28,52.68,11625000
16/03/2006 16:00:00,52.66,53.8,52.4,53.45,10656600
17/03/2006 16:00:00,53.88,53.89,52.73,52.85,7725900
20/03/2006 16:00:00,52.44,53.19,51.45,51.83,8170700
21/03/2006 16:00:00,51.6,53.2,51.37,51.9,6949600
22/03/2006 16:00:00,52.15,53.51,52.01,52.48,9343500
23/03/2006 16:00:00,53.06,54.2,52.97,53.7,8820700
24/03/2006 16:00:00,53.9,54.7,53.7,54.06,5838000
27/03/2006 16:00:00,53.81,54.57,53.4,54.27,6065400
28/03/2006 16:00:00,54.8,55.58,54.63,54.67,8305400
29/03/2006 16:00:00,54.48,55.72,54.26,55.1,10913400
30/03/2006 16:00:00,55.4,55.92,54.8,55.09,6745800
31/03/2006 16:00:00,54.88,54.88,53.93,54.6,6044300
03/04/2006 16:00:00,54.83,55.47,53.75,53.86,7975900
04/04/2006 16:00:00,53.52,54.75,53.46,54.65,7744000
05/04/2006 16:00:00,54.79,57.17,54.57,57.08,12549200
06/04/2006 16:00:00,57.6,57.89,56.28,57.36,10096400
07/04/2006 16:00:00,57.01,57.17,55.97,56.08,8093000
10/04/2006 16:00:00,57.26,57.82,57.06,57.17,8472600
11/04/2006 16:00:00,57.54,58.34,56.37,56.76,10192600
12/04/2006 16:00:00,57.18,58.31,56.91,58.25,9728800
13/04/2006 16:00:00,57.62,58.84,57.1,58.73,7961000
17/04/2006 16:00:00,59.59,60.01,59.3,59.96,8100900
18/04/2006 16:00:00,61.03,61.91,60.54,61.6,10407700
19/04/2006 16:00:00,61.71,63.22,61.38,63.01,10824100
20/04/2006 16:00:00,63.14,63.16,60.52,61.71,12921500
21/04/2006 16:00:00,62.09,63.69,61.35,63.06,11160300
24/04/2006 16:00:00,62.84,63.44,62,63.11,11143100
25/04/2006 16:00:00,64.16,64.62,59.76,60.55,24357200
26/04/2006 16:00:00,61.03,61.8,57.17,57.63,23253300
27/04/2006 16:00:00,56.76,58.93,55.32,58.82,16629300
28/04/2006 16:00:00,59.14,59.82,58.85,59.13,9794500
01/05/2006 16:00:00,59.72,60.99,59.43,60.23,8364000
02/05/2006 16:00:00,60.96,61.45,60.01,61.32,8458200
03/05/2006 16:00:00,61.56,61.56,59.17,59.74,12028300
04/05/2006 16:00:00,59.09,60.41,57.69,59.34,12658700
05/05/2006 16:00:00,59.94,60.13,58.75,59.37,7944400
08/05/2006 16:00:00,58.45,59.07,58.12,58.67,7640000
09/05/2006 16:00:00,59.11,59.8,58.68,59.29,6060800
10/05/2006 16:00:00,59.23,59.65,57.99,59.58,10359300
11/05/2006 16:00:00,60.19,60.72,58.82,59.05,8248900
12/05/2006 16:00:00,58.46,58.97,56.92,57.08,9008000
15/05/2006 16:00:00,55.71,56.49,54.11,55.31,12343700
16/05/2006 16:00:00,55.62,56.85,54.85,56.15,9306700
17/05/2006 16:00:00,56.06,56.15,54.05,54.62,11711800
18/05/2006 16:00:00,54.11,55.26,53.9,53.94,7305400
19/05/2006 16:00:00,53.52,54.49,52.05,53.8,12842400
22/05/2006 16:00:00,52.15,52.9,50.75,52.12,15771000
23/05/2006 16:00:00,54.21,55.16,53.29,53.6,11706700
24/05/2006 16:00:00,52.89,54.92,52.11,53.07,13008400
25/05/2006 16:00:00,54.53,55.29,53.2,55.15,10565500
26/05/2006 16:00:00,55.38,56.26,55.09,56.11,6650400
