Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,19.95,19.98,19.6,19.78,8280500
1/4/2006 16:00:00,19.69,19.99,19.59,19.81,7837300
1/5/2006 16:00:00,19.85,20.23,19.83,20.06,5551300
1/6/2006 16:00:00,20.03,20.49,19.82,20.45,6587300
1/9/2006 16:00:00,21.25,21.38,20.84,21.21,11336000
1/10/2006 16:00:00,21.2,21.28,20.93,21,5773800
1/11/2006 16:00:00,20.79,20.81,20.59,20.72,4584600
1/12/2006 16:00:00,20.62,20.7,20.56,20.67,3379300
1/13/2006 16:00:00,20.74,20.84,20.5,20.6,2895000
1/17/2006 16:00:00,20.41,20.66,20.38,20.54,3793300
1/18/2006 16:00:00,20.54,20.75,20.43,20.54,3616300
1/19/2006 16:00:00,20.53,20.87,20.2,20.77,5042400
1/20/2006 16:00:00,20.8,20.8,20.16,20.18,4715900
1/23/2006 16:00:00,20.25,20.78,20.07,20.26,3796600
1/24/2006 16:00:00,20.25,20.38,19.94,20.03,3228100
1/25/2006 16:00:00,20.63,21.5,20.61,21.09,11480200
1/26/2006 16:00:00,21.38,21.78,21.35,21.66,7551000
1/27/2006 16:00:00,21.9,21.93,21.42,21.5,5824100
1/30/2006 16:00:00,21.23,21.62,21.13,21.47,5108800
1/31/2006 16:00:00,21.13,21.59,21,21.58,6391800
2/1/2006 16:00:00,21.56,21.64,21.37,21.55,6421700
2/2/2006 16:00:00,21.4,21.5,21.21,21.21,5577700
2/3/2006 16:00:00,21.05,21.49,21.05,21.25,5807300
2/6/2006 16:00:00,21.15,21.32,21.07,21.21,4632600
2/7/2006 16:00:00,21.1,21.19,20.89,21.06,3999100
2/8/2006 16:00:00,21.13,21.25,20.85,21.03,3656000
2/9/2006 16:00:00,21.1,21.42,20.9,21.08,4869700
2/10/2006 16:00:00,21.15,21.31,21.01,21.24,2999700
2/13/2006 16:00:00,21.31,21.48,21.15,21.42,4003700
2/14/2006 16:00:00,21.5,21.93,21.47,21.87,6193300
2/15/2006 16:00:00,21.77,22.12,21.69,22.08,4886800
2/16/2006 16:00:00,22,22.18,21.78,22.18,4627700
2/17/2006 16:00:00,22.08,22.25,21.9,22.17,4556500
2/21/2006 16:00:00,22.13,22.16,21.77,22,3949300
2/22/2006 16:00:00,22.01,22.19,21.86,21.95,4513800
2/23/2006 16:00:00,21.88,21.93,21.65,21.72,4726200
2/24/2006 16:00:00,21.71,22.13,21.65,21.98,4140200
2/27/2006 16:00:00,21.92,22.41,21.92,22.23,4176400
2/28/2006 16:00:00,22.04,22.26,21.9,22.09,5320600
3/1/2006 16:00:00,22.09,22.1,21.71,22,5526500
3/2/2006 16:00:00,21.9,21.93,21.52,21.72,5693300
3/3/2006 16:00:00,21.66,22.15,21.64,21.89,3286000
3/6/2006 16:00:00,21.9,22.07,21.78,21.84,3388000
3/7/2006 16:00:00,21.75,21.91,21.51,21.77,3700000
3/8/2006 16:00:00,21.73,21.88,21.68,21.74,3261100
3/9/2006 16:00:00,21.74,21.79,21.5,21.6,6352800
3/10/2006 16:00:00,21.6,21.99,21.5,21.96,3358400
