Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,31.76,31.76,31.19,31.6,511700
1/4/2006 16:00:00,31.57,31.72,31.23,31.41,908000
1/5/2006 16:00:00,31.33,31.71,31.1,31.69,889400
1/6/2006 16:00:00,31.89,32.07,31.69,31.85,775300
1/9/2006 16:00:00,32.64,32.64,31.29,31.55,810200
1/10/2006 16:00:00,30.96,30.96,29.43,30.66,3892900
1/11/2006 16:00:00,30.7,31.51,30.7,30.87,1710000
1/12/2006 16:00:00,30.87,31.35,30.86,31.2,951900
1/13/2006 16:00:00,31.44,32.14,31.38,31.96,995000
1/17/2006 16:00:00,31.73,31.89,31.32,31.89,651100
1/18/2006 16:00:00,31.69,32.08,31.6,31.7,549600
1/19/2006 16:00:00,31.6,31.71,30.89,31.18,1037900
1/20/2006 16:00:00,31.15,31.15,30.48,30.5,765400
1/23/2006 16:00:00,30.55,30.86,30.37,30.37,608500
1/24/2006 16:00:00,30.36,30.46,29.74,30.41,1406000
1/25/2006 16:00:00,30.46,30.54,29.99,30.27,884400
1/26/2006 16:00:00,30.44,30.63,30.25,30.43,474900
1/27/2006 16:00:00,30.43,30.78,30.3,30.49,546800
1/30/2006 16:00:00,30.29,30.3,29.62,29.83,1435800
1/31/2006 16:00:00,29.43,29.96,29.34,29.95,1205600
2/1/2006 16:00:00,30.13,30.65,30.13,30.49,949800
2/2/2006 16:00:00,30.47,30.51,29.91,29.94,689800
2/3/2006 16:00:00,29.76,29.84,29.45,29.47,956100
2/6/2006 16:00:00,29.63,29.99,29.24,29.99,1278600
2/7/2006 16:00:00,29.96,30.14,29.43,29.48,494500
2/8/2006 16:00:00,29.34,29.47,29.15,29.22,971000
2/9/2006 16:00:00,29.22,29.89,29.22,29.38,375800
2/10/2006 16:00:00,29.3,29.43,29.1,29.2,424800
2/13/2006 16:00:00,29.16,29.4,29.08,29.18,619200
2/14/2006 16:00:00,29.18,29.69,29.18,29.63,369000
2/15/2006 16:00:00,29.71,30.72,29.67,30.55,1071600
2/16/2006 16:00:00,30.62,31.25,30.62,31.11,741100
2/17/2006 16:00:00,31.24,31.6,31.02,31.57,473700
2/21/2006 16:00:00,31.71,32.04,31.26,31.37,556700
2/22/2006 16:00:00,31.34,31.43,31.12,31.31,456400
2/23/2006 16:00:00,31.9,32.89,31.7,32.64,1556200
2/24/2006 16:00:00,32.51,32.51,31.15,31.9,1550200
2/27/2006 16:00:00,31.98,31.99,31.26,31.65,717500
2/28/2006 16:00:00,31.7,31.71,31.11,31.21,677100
3/1/2006 16:00:00,31.33,31.67,31.33,31.53,1577500
3/2/2006 16:00:00,31.9,31.94,31.03,31.22,729900
