Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,25.32,25.82,25.25,25.76,652100
1/4/2006 16:00:00,25.83,26.5,25.78,25.91,651600
1/5/2006 16:00:00,27,27.56,26.73,27.13,1600400
1/6/2006 16:00:00,27.3,27.95,27.21,27.7,868500
1/9/2006 16:00:00,27.66,27.69,27.27,27.33,602400
1/10/2006 16:00:00,27.33,27.5,26.96,27.02,684700
1/11/2006 16:00:00,27.02,27.15,26.95,27.05,624400
1/12/2006 16:00:00,27.01,27.36,26.98,27.09,538400
1/13/2006 16:00:00,27.13,27.45,27.06,27.12,254700
1/17/2006 16:00:00,26.95,26.98,26.49,26.74,551100
1/18/2006 16:00:00,26.72,27.28,26.71,26.79,900600
1/19/2006 16:00:00,27.37,27.6,27.29,27.4,918000
1/20/2006 16:00:00,27.4,27.87,27.38,27.43,690700
1/23/2006 16:00:00,27.5,27.67,27.21,27.35,332300
1/24/2006 16:00:00,27.35,28.05,27.3,28.03,979000
1/25/2006 16:00:00,27.94,27.99,27.26,27.46,1271600
1/26/2006 16:00:00,27.54,28.04,27.43,27.59,704200
1/27/2006 16:00:00,27.71,27.91,27.44,27.45,524300
1/30/2006 16:00:00,27.6,27.61,27.3,27.52,732000
1/31/2006 16:00:00,27.59,27.66,27.32,27.38,825200
2/1/2006 16:00:00,27.31,27.38,27.03,27.1,891100
2/2/2006 16:00:00,27,27.03,26.79,26.89,390900
2/3/2006 16:00:00,26.89,26.95,26.75,26.85,387200
2/6/2006 16:00:00,26.85,29.01,26.39,28.6,3944200
2/7/2006 16:00:00,28.6,28.6,27.14,27.62,2354300
2/8/2006 16:00:00,27.99,27.99,27.52,27.6,442800
2/9/2006 16:00:00,27.62,28.06,27.62,27.83,414500
2/10/2006 16:00:00,27.9,27.9,27.45,27.64,462800
2/13/2006 16:00:00,27.78,27.82,27.44,27.74,378400
2/14/2006 16:00:00,27.73,27.88,27.53,27.67,729700
2/15/2006 16:00:00,28.8,29.97,28.76,29.61,2427900
2/16/2006 16:00:00,29.61,29.62,29.14,29.57,705800
2/17/2006 16:00:00,29.04,29.53,29.04,29.38,705500
2/21/2006 16:00:00,29.51,29.83,29.25,29.5,747100
2/22/2006 16:00:00,29.26,29.64,29.26,29.45,544200
2/23/2006 16:00:00,29.45,29.48,29.25,29.41,329700
2/24/2006 16:00:00,29.42,29.6,29.26,29.56,428600
2/27/2006 16:00:00,29.49,29.62,29.27,29.54,428300
2/28/2006 16:00:00,29.5,29.55,29.07,29.2,675500
3/1/2006 16:00:00,29.22,29.22,28.95,29.09,482400
3/2/2006 16:00:00,29.09,29.29,28.96,29.18,450100
3/3/2006 16:00:00,29.17,29.63,29.08,29.26,514200
3/6/2006 16:00:00,29.26,29.33,28.52,29.08,1218300
3/7/2006 16:00:00,29.11,29.51,28.78,29.14,590500
3/8/2006 16:00:00,29.13,29.23,28.88,29.22,383400
3/9/2006 16:00:00,29.19,29.25,28.88,28.95,537500
3/10/2006 16:00:00,28.96,29.16,28.89,29.08,285200
3/13/2006 16:00:00,29.13,29.37,28.93,29.25,292100
3/14/2006 16:00:00,29.24,29.7,29.21,29.55,482900
3/15/2006 16:00:00,29.59,30.11,29.52,30.05,625600
3/16/2006 16:00:00,30.04,30.18,29.81,30.14,358600
3/17/2006 16:00:00,30.23,30.23,29.84,30.01,414400
3/20/2006 16:00:00,30.11,30.13,29.75,29.89,724100
3/21/2006 16:00:00,29.8,30.05,29.7,29.92,570300
3/22/2006 16:00:00,29.8,29.83,28.95,29.63,1064100
3/23/2006 16:00:00,29.52,29.52,29.16,29.32,474700
3/24/2006 16:00:00,29.35,29.64,29.3,29.54,297200
3/27/2006 16:00:00,29.48,29.9,29.38,29.73,462100
3/28/2006 16:00:00,29.68,30.19,29.53,30.02,544100
3/29/2006 16:00:00,30.05,30.24,29.89,30.05,568000
3/30/2006 16:00:00,30.13,30.35,29.93,29.98,449700
3/31/2006 16:00:00,30.04,30.33,29.94,30.11,579500
4/3/2006 16:00:00,30.03,30.06,29.08,29.38,1181700
4/4/2006 16:00:00,29.38,29.53,28.8,29.05,634200
4/5/2006 16:00:00,29.1,29.65,29.06,29.16,529500
4/6/2006 16:00:00,29.04,29.26,28.82,28.92,578800
4/7/2006 16:00:00,28.89,29.16,27.86,28.08,1173600
4/10/2006 16:00:00,27.99,28.1,27.21,27.71,1084100
4/11/2006 16:00:00,27.57,27.72,27.29,27.54,717400
4/12/2006 16:00:00,27.5,28,27.5,27.8,347200
4/13/2006 16:00:00,27.78,27.88,27.45,27.55,415000
4/17/2006 16:00:00,27.35,27.72,27.28,27.58,473100
4/18/2006 16:00:00,27.58,27.8,26.92,27.29,849100
4/19/2006 16:00:00,27.28,27.65,27.19,27.53,1177200
4/20/2006 16:00:00,27.64,28.68,27.64,28.4,1020800
4/21/2006 16:00:00,28.65,29.15,28.57,28.81,870300
4/24/2006 16:00:00,28.86,28.99,28.5,28.59,291700
