Date,Open,High,Low,Close,Volume
1/2/2006 15:30:00,486,490,479.98,481.5,97187
1/3/2006 15:30:00,486,499.95,483.5,496.98,378979
1/4/2006 15:30:00,470.78,514.5,470.78,510.23,394634
1/5/2006 15:30:00,500.5,517.5,500.5,514.65,256666
1/6/2006 15:30:00,513.5,519.95,500.58,511.9,248932
1/9/2006 15:30:00,511.5,535,511.5,530.63,312590
1/10/2006 15:30:00,535,537.38,515.08,517.48,91638
1/12/2006 15:30:00,510.83,523.98,510.83,514.23,151993
1/13/2006 15:30:00,515.5,518.45,510,516.4,178289
1/16/2006 15:30:00,516.5,522.5,508,519.6,150622
1/17/2006 15:30:00,520.5,524.03,507.75,509.5,56819
1/18/2006 15:30:00,500,517,492.53,515.85,176443
1/19/2006 15:30:00,515.85,518.88,510.03,515.35,139431
1/20/2006 15:30:00,502.5,522,502.5,515.5,76093
1/23/2006 15:30:00,513.5,520,507.5,515.63,65318
1/24/2006 15:30:00,517,525,512.53,521.18,274227
1/25/2006 15:30:00,522,550,522,543.25,551356
1/27/2006 15:30:00,544.85,544.85,533,536.7,114527
1/30/2006 15:30:00,537.5,572.5,537.5,565.2,396734
1/31/2006 15:30:00,570,570.5,556.25,560.63,244774
2/1/2006 15:30:00,560.5,605,560.5,589.68,964355
2/2/2006 15:30:00,597.35,608,582.8,587.05,569808
2/3/2006 15:30:00,590,596,578,580.38,245828
2/6/2006 15:30:00,581,599.45,541.2,594.35,414947
2/7/2006 15:30:00,599.5,614.9,590,610.03,329989
2/8/2006 15:30:00,615,615,580.78,596.5,392063
2/10/2006 15:30:00,595.75,606,590.1,603.2,295036
2/13/2006 15:30:00,597.78,605,594.5,597.85,122825
2/14/2006 15:30:00,597.5,597.5,579.03,583.28,82008
2/15/2006 15:30:00,585.05,589.95,572.63,585.95,172064
2/16/2006 15:30:00,631.1,647.95,601.5,640.33,1095505
2/17/2006 15:30:00,642.5,647.5,629.05,643.05,798930
2/20/2006 15:30:00,647,674.95,637.63,663.23,733706
2/21/2006 15:30:00,663.23,700,662.5,693.4,591687
2/22/2006 15:30:00,699,705,669.25,675.75,548879
