Date,Open,High,Low,Close,Volume
1/3/2006 16:00:00,23.38,23.46,23.1,23.45,591600
1/4/2006 16:00:00,23.45,23.73,23.22,23.53,662100
1/5/2006 16:00:00,23.53,23.62,23.35,23.57,590300
1/6/2006 16:00:00,23.63,23.77,23.53,23.66,303000
1/9/2006 16:00:00,23.66,23.77,23.53,23.58,369600
1/10/2006 16:00:00,23.44,23.44,22.54,22.67,1663200
1/11/2006 16:00:00,22.67,22.88,22.61,22.79,669800
1/12/2006 16:00:00,22.71,23.07,22.55,22.64,614200
1/13/2006 16:00:00,24,24.02,22.98,23.3,740400
1/17/2006 16:00:00,23.31,23.44,22.99,23.39,495000
1/18/2006 16:00:00,23.39,23.65,23.21,23.22,561300
1/19/2006 16:00:00,23.25,23.33,22.96,23.14,447000
1/20/2006 16:00:00,23.01,23.22,22.85,23,812000
1/23/2006 16:00:00,23.5,23.6,23.09,23.27,814500
1/24/2006 16:00:00,23.39,23.56,23.22,23.48,500100
1/25/2006 16:00:00,23.64,23.64,23.01,23.08,1245300
1/26/2006 16:00:00,23.13,23.55,23.13,23.44,598700
1/27/2006 16:00:00,23.57,24.28,23.48,24.02,790900
1/30/2006 16:00:00,24,24.05,23.75,23.8,424900
1/31/2006 16:00:00,23.18,24.27,23.15,23.76,2894500
2/1/2006 16:00:00,24.19,24.94,24.04,24.85,1647300
2/2/2006 16:00:00,24.86,24.96,24.63,24.75,1410500
2/3/2006 16:00:00,24.75,24.75,24.33,24.34,876300
2/6/2006 16:00:00,24.37,24.93,24.1,24.85,1025900
2/7/2006 16:00:00,24.8,25.2,24.77,24.88,647500
2/8/2006 16:00:00,24.89,25.03,24.65,24.95,795200
2/9/2006 16:00:00,24.93,25.1,24.79,24.84,524100
2/10/2006 16:00:00,24.84,24.84,24.4,24.77,710800
2/13/2006 16:00:00,24.8,24.8,24.47,24.68,585700
2/14/2006 16:00:00,24.61,24.78,24.53,24.71,526900
2/15/2006 16:00:00,24.78,25.47,24.75,25.47,758500
2/16/2006 16:00:00,25.47,25.68,25.35,25.58,704600
2/17/2006 16:00:00,25.62,25.71,25.46,25.59,440200
2/21/2006 16:00:00,25.6,25.66,25.28,25.52,451700
2/22/2006 16:00:00,25.52,25.69,25.26,25.4,439000
2/23/2006 16:00:00,25.36,25.49,25.02,25.46,440200
2/24/2006 16:00:00,25.45,25.45,25.07,25.38,455700
2/27/2006 16:00:00,25.38,25.66,25.3,25.66,507300
2/28/2006 16:00:00,25.66,25.83,24.94,25.12,856600
3/1/2006 16:00:00,25.1,25.47,25.08,25.28,539000
3/2/2006 16:00:00,25.18,25.27,25,25.16,377100
3/3/2006 16:00:00,25.14,25.37,24.87,25.02,382200
3/6/2006 16:00:00,25.01,25.04,24.81,24.96,453200
3/7/2006 16:00:00,24.78,24.93,24.54,24.64,522700
3/8/2006 16:00:00,24.68,25.12,24.52,25.01,347600
3/9/2006 16:00:00,24.99,25.02,24.29,24.37,650600
